Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene_Interaction_Hubs_BioGRID_2018	BMH1	31/367	3.66703378e-08	6.468647601e-07	0.4275624621644179	0.9999969718970356	-1.4820910347807532	25.37532173747177	RRP6;CTF13;SKI8;ARF1;BRE2;HAL5;GIC1;VPS71;AIM44;SWC3;VPS5;CIN1;OAF1;BUB2;EAP1;COS111;ACT1;TFC6;CSE2;KIP3;SSN3;MLP2;RTS1;MDM31;RAT1;YPT31;CHK1;SUB1;SYF1;IES1;DAL1
Gene_Interaction_Hubs_BioGRID_2018	VPS41	40/543	1.84271422e-08	3.65686637e-07	0.7421277349162326	0.9999969718970356	-1.4213493653575704	25.31343786109304	BAR1;CDS1;PSP2;YCR100C;NST1;TSR3;MDM20;ERG27;OPI3;JID1;ASR1;UBP10;YPP1;VPS3;ORC6;VPS5;YML020W;SPP381;THI2;YGR210C;VPS17;CBP1;CET1;ACT1;CSE2;ALG8;STP2;COG6;ASK1;SPO20;CCZ1;YHR045W;FPS1;RIM101;YPT31;WHI2;NAT4;IES1;VAM10;AVL9
Gene_Interaction_Hubs_BioGRID_2018	HMI1	28/310	4.12316768e-08	7.146223813e-07	0.3064344275512312	0.9999969718970356	-1.4864945053027496	25.27644030242543	TOF1;GIS4;SHE4;BRE2;BAT2;HAL5;PEF1;FCY22;YEL043W;SPS19;YJR039W;PTH2;POL5;YLR154C-G;AIM44;HSP33;YNR021W;MTC6;SPT21;ACT1;TFC6;PET309;YPT31;YLR352W;SRY1;WHI2;NAT4;MFM1
Gene_Interaction_Hubs_BioGRID_2018	POL32	35/444	2.766203e-08	5.08289802e-07	0.5803458001041674	0.9999969718970356	-1.4522263911985862	25.273393767621663	TOF1;WAR1;ASK10;MMS4;NPR2;YPL245W;SMA2;OPI3;VPS3;VPS71;SWC3;ORC6;RAD24;ISC1;SPT21;ACT1;CYK3;CSE2;RTS1;SSP1;RPL13A;PUS7;DIG1;YBR238C;RSC9;SHU2;SUB1;VPS64;SHU1;IES1;MMS1;GCS1;YGR237C;LYS21;SAE2
Gene_Interaction_Hubs_BioGRID_2018	RSC58	22/200	3.73950374e-08	6.567296621e-07	0.1027776084904576	0.9999969718970356	-1.4769881765480408	25.25904980319924	CTF13;SPT21;PET127;ACT1;CYK3;CSE2;BAT2;MMS4;SRB2;HXT3;YBR238C;RSC9;VPS71;WHI2;AIM11;CHK1;YER156C;YML020W;BEM4;CYC3;YGL036W;SAE2
Gene_Interaction_Hubs_BioGRID_2018	SRB2	44/639	2.59848655e-08	4.841968607e-07	0.8760852317859026	0.9999969718970356	-1.44133302882928	25.173964600877323	BAR1;SKI8;ASK10;SHE4;BRE2;KAP122;NPR1;PCL9;ECM21;FCY22;NPR2;MDM20;YJL213W;SGF29;IRC22;VPS71;YLR464W;SWC3;RAD24;TGS1;VPS54;GCR2;EAP1;SIL1;SPT21;CCT2;CSE2;SSN3;MLP2;PHO91;SPT8;ITR1;YML002W;TRM11;TAT2;YKR018C;MUD2;WHI3;VPS64;YJR124C;AVL9;AIM39;YDL124W;BSC2
Gene_Interaction_Hubs_BioGRID_2018	PRP18	33/419	7.09201703e-08	1.1396038704e-06	0.5813711440998213	0.9999969718970356	-1.527003715103108	25.1370937839473	ISY1;SKG6;JIP4;ARF1;BRE2;YJR142W;YDL211C;YNL018C;NUP120;HIF1;ERG27;YIL055C;QRI1;SEN2;VPS71;BIO4;SWC3;TGS1;PAC11;CYC3;ISC1;YEL076C;CET1;ACT1;CSE2;SSN3;MLP2;TFC3;SPT8;YOR389W;FAA4;RSC9;SYF1
Gene_Interaction_Hubs_BioGRID_2018	AME1	25/262	7.62592244e-08	1.2058679759e-06	0.2343443650637196	0.9999969718970356	-1.527306241874332	25.031216656297108	BAR1;CTF13;ASK10;PEF1;RRD2;YJR039W;SNA3;CNN1;VPS71;SWC3;BCK2;BUB2;VPS17;ACT1;COG6;IBD2;RTS1;ASK1;YMR279C;RAT1;YKR041W;MSB2;IRC15;IDS2;LDB17
Gene_Interaction_Hubs_BioGRID_2018	SIW14	34/437	6.02041116e-08	9.997912938e-07	0.6097146491702208	0.9999969718970356	-1.5003720207432896	24.9444728203789	DET1;NPR1;YOR019W;NUP120;OCA5;YPP1;CYC3;PNS1;YGR210C;IRC8;VPS17;COS111;CBP1;CUP1-2;CET1;ACT1;ALG8;YJL070C;YOL057W;YAR028W;ASK1;GDH2;YMR114C;CCZ1;FPS1;RAT1;YPT31;YLR352W;YJL206C;RGR1;YDL180W;FMP52;IES1;AVL9
Gene_Interaction_Hubs_BioGRID_2018	UME6	51/760	4.5279254e-09	1.17459714e-07	0.9263463952960992	0.9999969718970356	-1.2930168126488868	24.84273454603212	ASK10;SHE4;FCY22;MDM20;MUM3;POL5;OPI3;ADF1;VPS71;SWC3;BEM4;SET3;SIL1;MTC6;FUB1;CET1;SSN3;HOS1;STP2;COG6;AME1;YJL163C;MDM31;RIM101;DIG1;YBR238C;MUD2;SUB1;SEG1;YGR237C;YLR156C-A;BRE2;FMT1;NPR1;NST1;NUP120;IRC23;RAD24;TGS1;IOC2;BCK2;VPS55;ISC1;ESC1;EAP1;OYE3;ACT1;KIP3;ASK1;SRB2;IES1
Gene_Interaction_Hubs_BioGRID_2018	SWC5	55/885	1.59339824e-08	3.276786331e-07	0.9843513519293524	0.9999969718970356	-1.3790952142059232	24.761394956160306	RRP6;ARF1;KAP122;YCR100C;YGL140C;ERG27;OPI3;UBP10;YLR154C-G;VPS71;YLR464W;SWC3;FYV7;CIN1;CCW12;SET3;SIP5;SIL1;CET1;ESC8;COG6;PHO91;SPT8;ITR1;YPT31;RGR1;WHI3;YJR124C;GCS1;TOF1;BRE2;YHR202W;YEL043W;YPL245W;NUP82;VPS3;ORC6;YOL098C;TGS1;HCS1;VPS54;YGR210C;GCR2;VPS17;ACT1;CSE2;KIP3;YHR045W;SRB2;ERP1;IRC15;MMS1;SAE2;AIM39;ECM38
