Gene name	Number of transposons per gene	Number of reads per gene
EPL1	125	1391
CAK1	56	509
MOB2	48	297
TUB2	98	879
YPT1	47	288
ACT1	70	800
SEC53	8	9
NIC96	179	5005
YPI1	34	153
RPN11	35	123
SAD1	57	404
ECO1	44	132
CDC14	78	974
PTR3	122	1333
SMC2	132	1088
RSC8	65	487
KEG1	11	38
PRE4	60	567
RET2	176	7024
RPN12	35	116
ERG26	65	362
PMA1	53	476
SCL1	41	258
PUF4	210	4241
JAC1	32	260
STT3	125	1960
RPL30	13	55
HEM2	35	80
RNA15	40	206
ALG13	26	46
RPT6	22	52
OLE1	49	235
DUO1	62	489
ALG2	51	376
MNP1	20	86
YGL069C	17	79
HSF1	214	5546
YGL074C	41	1319
MPS2	60	677
NBP35	40	706
NUP145	125	2094
SPC105	92	1583
SRM1	80	1015
USE1	16	16
LSG1	41	121
YGL102C	13	98
RPL28	29	252
NSA1	54	242
TAF6	2	1
SLD3	90	1080
CDC20	66	666
PRP43	126	1425
NAB2	63	561
RPS2	11	14
CWC23	10	32
CEG1	23	46
SEC27	86	657
GPI10	58	734
TIP20	82	875
INO80	209	3442
CDC43	64	541
CUP2	86	1551
SUA5	50	470
ROK1	46	317
NUP49	59	590
ATG1	158	2417
MCM6	170	1917
SPT16	92	935
VRG4	31	214
SEC15	69	411
CSE1	80	738
YGL239C	16	505
GUS1	50	498
BRR6	19	106
SWC4	137	2748
TFG2	53	342
SEC9	58	263
SNU71	124	1162
THG1	16	139
ERV1	33	159
POP6	13	32
TAM41	27	294
TFC4	107	836
UFD1	53	386
ERG25	41	403
VHT1	103	909
YGR073C	11	78
SMD1	4	3
PRP38	5	14
TOM20	42	400
GCD2	44	409
UTP22	33	219
PRP31	74	1022
VAS1	160	1749
RRP46	17	164
ESP1	107	619
TEL2	48	474
NOP7	43	225
DAM1	41	294
YGR114C	21	334
YGR115C	24	81
SPT6	104	1036
NUP57	71	629
COG2	14	149
UTP8	32	236
CBF2	93	1688
ENP2	108	1034
NAT2	39	460
PTI1	28	199
MTR3	37	457
YIP1	31	127
ERG1	40	180
OKP1	59	340
TYS1	37	247
TFG1	73	793
YGR190C	7	35
HIP1	74	948
SKI6	39	271
YPP1	71	480
ZPR1	64	409
GPI1	34	217
CRM1	79	646
LSC2	137	2593
SDA1	133	1390
BRF1	72	932
NOP19	33	306
PUP2	32	271
MES1	84	875
YGR265W	52	1139
FOL2	53	403
TAF1	116	1132
CAB4	29	47
CWC22	80	1333
PXR1	44	479
PAU12	32	345
RPS20	2	1
ARN2	126	3131
TIM10	30	368
ERG11	49	389
SPO13	57	990
DED81	70	868
YHR020W	70	805
MYO1	164	1452
MAS2	38	328
BRL1	66	809
BCD1	118	1710
NCP1	86	827
CPR2	79	1744
MED6	53	1129
RPP1	24	205
RRP3	65	819
DYS1	67	827
RRP4	46	395
TRM5	67	950
ERG7	72	634
NOP10	1	0
QNS1	70	815
KSP1	196	2851
SAM35	57	422
STE12	130	2564
IPI1	30	60
NAM8	147	3149
RPF1	24	51
SFB3	202	3360
BIG1	16	68
CDC12	21	78
ORC6	37	213
YHR122W	46	634
RPC10	0	0
IMP3	47	527
DNA2	142	1509
CDC23	107	2327
NMD3	63	547
SPC97	97	1825
KOG1	171	2140
GPI16	94	1096
ERG9	76	781
UTP9	87	1119
RIX1	52	545
CFD1	73	1646
BET1	26	42
FAF1	79	667
RPB3	55	625
TIM44	45	361
IRR1	139	1225
ULP2	156	1674
MET30	97	1509
NEO1	93	530
MMF1	44	525
SNP1	47	385
ARC15	7	43
YRB2	28	144
SEC6	89	758
RPN2	166	2555
THS1	79	955
CAB2	31	371
UTP25	114	939
SHQ1	67	453
MOB1	31	136
SEC24	135	2183
NUP159	181	2160
RHO3	38	393
STH1	99	1221
TAO3	314	4945
CCT2	86	603
SSL2	117	2104
NDC80	66	795
SLN1	109	1144
MCM10	97	1549
DJP1	135	2548
PAN1	311	8888
PRI1	26	145
DSN1	61	509
STS1	49	264
SQT1	92	1025
RPR2	26	104
SEC11	36	160
PRE3	41	165
OST1	38	475
CYR1	258	2774
CCT8	76	807
YJL009W	31	561
NOP9	96	765
RPC17	22	68
CCT3	23	419
YJL015C	68	4362
MPS3	137	3529
RRN7	61	483
RNR2	70	866
BET4	22	29
YJL032W	6	7
HCA4	103	498
KAR2	62	425
TAD2	36	117
NUP192	123	658
NSP1	14	63
MTR4	171	1802
TIM54	48	642
NUP82	71	748
UTP18	69	758
PSF2	41	330
SMC3	78	862
NET1	177	2272
ARP4	21	88
EXO70	78	889
YJL086C	51	829
TRL1	58	239
DPB11	54	451
GWT1	46	259
PHS1	41	239
PAM16	25	122
IME2	108	1673
UTP10	186	1565
CCT7	56	288
ASF1	31	234
MTC1	99	979
GCD14	65	437
TIM17	43	969
SSY5	97	1130
FAR1	206	3205
TPK1	83	1062
ERG20	63	538
RFA3	9	10
KRE9	26	110
CDC6	34	307
YJL195C	18	41
YJL202C	29	461
PRP21	51	846
MPP10	90	906
MRX12	258	5642
POL31	37	52
SUI2	48	382
YJR012C	108	3221
GPI14	62	188
ILV3	142	2282
ESS1	34	227
LSM8	10	19
YJR023C	11	20
URB2	108	668
NUP85	79	604
SSC1	11	32
TAH11	67	268
CDC8	23	100
CCT5	97	1626
ARP3	56	440
YAE1	21	41
RFC2	56	253
NPA3	86	1564
CDC11	73	548
FIP1	27	264
SFC1	94	2242
NNF1	46	187
RPS5	2	1
YJR141W	19	57
AUR1	72	953
SFT1	42	930
PRP40	99	1132
ARC19	14	16
URB1	198	1690
SWD2	30	211
RAM2	51	620
MAK11	58	2069
CDC16	131	2656
URA6	29	259
TFA1	70	511
TTI1	117	1348
UGP1	52	354
YKL036C	86	2625
SPC42	43	225
PRI2	67	1050
CSE4	21	46
ASK1	119	2837
TOA2	26	41
MPE1	74	743
FBA1	25	105
DHR2	47	533
RRP14	29	347
YKL083W	8	17
CAB3	66	577
MIF2	24	65
YJU2	48	578
UTP11	49	353
HSL1	174	2196
GFA1	62	426
SLD2	65	646
YKL111C	29	307
ABF1	80	590
SRP21	20	369
RRN3	61	296
HSK3	16	52
SDH3	13	111
RPC25	20	86
RPT1	22	142
GPM1	31	176
YKL153W	27	137
SRP102	60	307
MCD4	119	1174
TPK3	70	1182
EBP2	40	174
SNU114	75	669
RPL17A	6	14
FAS1	136	1588
MTR2	31	207
HYM1	47	837
ACP1	11	125
SDS22	24	289
MIA40	29	267
YKT6	37	149
TOR2	298	3255
LOS1	142	1804
UBA1	50	456
PAP1	57	399
