Gene name	Number of transposons per gene	Number of reads per gene	
PRP6	66	912	
YBR056W	83	1317	
YBR056W-A	12	97	
YBR056C-B	9	93	
MUM2	44	617	
UBP14	87	767	
TSC3	12	13	
AKL1	111	1367	
ORC2	59	279	
TRM7	44	397	
YBR062C	24	319	
YBR063C	28	180	
YBR064W	3	17	
ECM2	39	413	
NRG2	21	282	
TIP1	7	68	
BAP2	68	561	
TAT1	74	783	
ALG14	25	126	
YBR071W	50	440	
HSP26	39	599	
YBR072C-A	15	149	
RDH54	103	1137	
PFF1	133	1666	
ECM8	55	1513	
YBR076C-A	43	743	
SLM4	21	147	
ECM33	40	201	
RPG1	95	623	
SEC18	41	218	
SPT7	101	884	
UBC4	38	367	
TEC1	68	887	
MIS1	135	2212	
RPL19A	59	413	
AAC3	38	370	
YBR085C-A	15	261	
IST2	95	869	
RFC5	10	26	
POL30	7	18	
YBR089W	5	11	
NHP6B	9	12	
YBR090C	60	743	
TIM12	22	30	
PHO3	66	1004	
PHO5	53	948	
PBY1	68	826	
RXT2	26	90	
YBR096W	27	160	
VPS15	118	1038	
MMS4	74	571	
YBR099C	20	92	
FES1	24	75	
EXO84	70	615	
SIF2	73	898	
YBR103C-A	19	297	
YMC2	44	582	
VID24	41	613	
PHO88	23	285	
IML3	21	84	
AIM3	91	1128	
CMD1	3	2	
YBR109W-A	18	292	
ALG1	19	33	
YSA1	25	262	
SUS1	10	32	
CYC8	81	810	
YBR113W	17	111	
RAD16	132	2006	
LYS2	126	1627	
YBR116C	32	515	
TKL2	116	2382	
TEF2	62	459	
MUD1	18	140	
CBP6	6	9	
GRS1	4	3	
YBR121C-A	0	0	
MRPL36	10	142	
TFC1	32	106	
YBR124W	25	520	
PTC4	53	568	
TPS1	41	138	
YBR126W-A	17	236	
YBR126W-B	16	249	
VMA2	33	269	
ATG14	78	1033	
OPY1	15	71	
SHE3	20	154	
CCZ1	34	158	
YBR131C-A	1	0	
AGP2	77	786	
HSL7	57	433	
YBR134W	24	403	
CKS1	14	102	
MEC1	137	1647	
YBR137W	14	113	
YBR138C	69	561	
YBR139W	75	856	
IRA1	164	1191	
BMT2	54	801	
YBR141W-A	11	19	
MAK5	70	563	
SUP45	24	59	
YBR144C	48	759	
ADH5	63	1000	
MRPS9	40	425	
RTC2	62	837	
YSW1	75	434	
ARA1	37	364	
TBS1	115	1216	
APD1	56	655	
SPP381	30	387	
RIB7	15	24	
RPB5	10	40	
CNS1	23	34	
SLI15	40	431	
ICS2	33	232	
AMN1	59	875	
IFA38	31	80	
CDC28	14	74	
CSH1	16	175	
TOS1	54	622	
YSY6	10	14	
EXO5	34	154	
ARL1	12	54	
UBS1	28	296	
TYR1	49	431	
POP7	10	24	
PEX32	46	632	
SSE2	60	412	
NPL4	69	733	
SEC66	27	140	
SMY2	64	623	
UMP1	13	18	
YBR174C	24	204	
SWD3	31	153	
ECM31	39	322	
EHT1	48	562	
YBR178W	28	276	
FZO1	79	410	
DTR1	41	411	
RPS6B	12	47	
SMP1	34	315	
YBR182C-A	8	18	
YPC1	38	431	
YBR184W	58	536	
MBA1	27	173	
PCH2	62	893	
GDT1	28	163	
NTC20	12	63	
RPS9B	7	9	
YBR190W	24	141	
RPL21A	26	211	
YBR191W-A	1	0	
RIM2	17	20	
MED8	12	53	
AIM4	16	110	
MSI1	66	865	
PGI1	28	137	
YBR196C-A	25	252	
YBR196C-B	15	524	
YBR197C	60	652	
TAF5	60	248	
KTR4	33	304	
BEM1	35	275	
YBR200W-A	7	21	
DER1	28	234	
YBR201C-A	8	8	
MCM7	48	310	
COS111	80	778	
LDH1	61	933	
KTR3	49	1079	
YBR206W	15	152	
FTH1	43	445	
DUR1	2	176	2317
YBR209W	28	756	
ERV15	15	116	
AME1	16	78	
NGR1	78	1267	
MET8	49	795	
SDS24	76	1694	
HPC2	27	145	
YBP1	56	544	
ATG12	19	76	
PYC2	114	1235	
YBR219C	65	937	
YBR220C	81	1505	
PDB1	34	414	
YBR221W-A	17	489	
PCS60	55	594	
TDP1	51	893	
YBR223W-A	17	254	
YBR224W	10	64	
YBR225W	69	746	
YBR226C	18	233	
MCX1	34	318	
SLX1	63	1288	
ROT2	129	1985	
OM14	18	73	
YBR230W-A	24	153	
SWC5	43	1404	
YBR232C	10	47	
PBP2	35	456	
DAD3	3	3	
ARC40	33	272	
VHC1	136	1860	
ABD1	25	180	
PRP5	62	305	
YBR238C	64	1045	
ERT1	76	1212	
THI2	96	1665	
YBR241C	116	2410	
YBR242W	29	392	
ALG7	19	39	
GPX2	18	276	
ISW1	132	1412	
RRT2	64	509	
ENP1	13	54	
HIS7	58	432	
ARO4	45	568	
SPO23	42	576	
MRPS5	38	195	
DUT1	4	44	
SRB6	15	28	
TRS20	14	49	
MTC4	88	934	
YBR255C-A	11	36	
RIB5	19	43	
POP4	11	33	
SHG1	9	17	
YBR259W	78	1012	
RGD1	64	646	
TAE1	35	290	
MIC12	22	275	
SHM1	39	650	
YPT10	17	205	
TSC10	43	298	
REI1	52	393	
SLM6	20	68	
MRPL37	12	12	
SDH8	11	98	
BIT2	57	1034	
EFM2	68	682	
HSM3	30	120	
UBX7	47	424	
CHK1	37	314	
RIF1	207	2554	
PPS1	68	945	
YBR277C	23	132	
DPB3	36	203	
PAF1	45	368	
SAF1	66	757	
DUG2	76	906	
MRPL27	13	73	
SSH1	36	287	
YBR284W	94	1635	
YBR285W	4	21	
APE3	83	1281	
YBR287W	46	787	
APM3	46	271	
SNF5	68	446	
BSD2	27	267	
CTP1	55	941	
YBR292C	22	189	
VBA2	56	730	
SUL1	85	1203	
PCA1	139	1729	
PHO89	89	1014	
YBR296C-A	7	41	
MAL33	57	847	
MAL31	74	470	
YBR298C-A	12	88	
MAL32	87	1083	
YBR300C	15	64	
PAU24	13	62	
COS2	53	350	
YCL076W	8	8	
GEX1	55	512	
VBA3	54	608	
YCL068C	39	718	
HMLALPHA2	5	7	
HMLALPHA1	32	118	
YCL065W	10	14	
CHA1	75	566	
VAC17	65	679	
MRC1	83	705	
KRR1	27	82	
FYV5	24	155	
ADF1	19	77	
MIC10	36	696	
PRD1	102	1327	
PEX34	12	30	
KAR4	28	220	
RDT1	4	3	
SPB1	102	554	
PBN1	41	217	
LRE1	83	1918	
APA1	50	622	
YCL049C	33	259	
YCL048W-A	5	4	
SPS22	79	1238	
POF1	51	579	
EMC1	78	917	
YCL046W	5	11	
MGR1	56	954	
PDI1	63	625	
YCL041C	52	422	
YCL042W	35	490	
GLK1	131	2641	
GID7	128	2137	
ATG22	67	775	
SRO9	42	657	
GFD2	126	2156	
GRX1	17	182	
LSB5	65	1061	
MXR2	29	368	
STE50	45	900	
RRP7	43	307	
HIS4	119	1559	
BIK1	122	1681	
RNQ1	72	1247	
FUS1	65	972	
HBN1	9	34	
FRM2	54	821	
AGP1	149	2325	
YCL023C	41	833	
KCC4	145	2278	
YCL022C	43	495	
YCL021W-A	39	462	
LEU2	77	1545	
NFS1	35	110	
DCC1	67	744	
BUD3	226	3167	
YCL012C	19	58	
GBP2	84	764	
SGF29	66	941	
ILV6	88	1770	
STP22	99	1093	
CWH36	38	165	
VMA9	28	57	
LDB16	46	747	
PGS1	55	795	
YCL002C	65	1152	
RER1	19	71	
YCL001W-A	17	63	
YCL001W-B	25	85	
YCR001W	27	614	
CDC10	14	36	
MRPL32	26	100	
YCP4	45	465	
CIT2	121	2094	
YCR006C	189	5382	
YCR007C	71	692	
SAT4	97	718	
RVS161	25	51	
ADY2	75	1124	
ADP1	181	2985	
PGK1	6	15	
YCR013C	4	12	
POL4	102	1493	
CTO1	55	704	
YCR016W	33	212	
CWH43	98	668	
SRD1	28	574	
YCR018C-A	21	280	
MAK32	82	1751	
PET18	25	269	
MAK31	20	176	
HTL1	1	0	
HSP30	62	1247	
YCR022C	51	919	
YCR023C	92	1022	
SLM5	44	304	
YCR024C-B	18	101	
PMP1	7	68	
YCR025C	41	433	
NPP1	122	1767	
RHB1	29	126	
FEN2	46	435	
RIM1	4	6	
SYP1	92	1261	
RPS14A	28	237	
BPH1	219	2628	
SNT1	192	3908	
ELO2	18	108	
RRP43	10	22	
RBK1	49	359	
PHO87	72	604	
BUD5	59	767	
YCR038W-A	3	3	
MATALPHA2	4	4	
MATALPHA1	31	121	
YCR041W	10	20	
TAF2	111	823	
YCR043C	31	590	
PER1	50	487	
RRT12	65	1575	
YCR045W-A	22	713	
IMG1	22	147	
BUD23	32	135	
YCR047W-A	3	3	
YCR049C	42	484	
ARE1	120	1979	
YCR050C	15	168	
YCR051W	51	458	
RSC6	31	146	
THR4	23	114	
CTR86	45	420	
PWP2	68	574	
YIH1	73	2008	
TAH1	21	218	
YCR061W	176	3225	
YCR064C	51	1208	
BUD31	27	65	
HCM1	82	882	
RAD18	44	218	
SED4	86	1122	
ATG15	78	845	
CPR4	66	808	
IMG2	35	125	
RSA4	41	318	
SSK22	130	2441	
SOL2	47	618	
ERS1	45	489	
YCR075W-A	4	7	
FUB1	50	559	
PAT1	59	399	
PTC6	63	820	
SRB8	171	2196	
YCR081C-A	19	317	
AHC2	18	188	
TRX3	17	151	
TUP1	34	261	
YCR085W	8	42	
CSM1	24	154	
YCR087W	32	393	
YCR087C-A	28	388	
ABP1	67	700	
FIG2	89	1596	
YCR090C	37	228	
KIN82	110	1605	
MSH3	86	776	
CDC39	131	949	
CDC50	45	446	
OCA4	26	267	
YCR095W-A	10	73	
HMRA2	5	9	
HMRA1	1	0	
YCR097W-A	2	1	
GIT1	70	667	
YCR099C	27	420	
YCR100C	47	454	
YCR101C	21	536	
YCR102C	67	897	
YCR102W-A	1	0	
PAU3	21	451	
ADH7	81	1518	
RDS1	127	2128	
AAD3	63	802	
YCR108C	21	156	
COS7	51	415	
YDL247W-A	3	2	
MPH2	103	1109	
SOR2	66	577	
HXT15	117	2006	
THI13	52	648	
AAD4	52	774	
YDL242W	37	770	
YDL241W	9	37	
YDL240C-A	18	158	
LRG1	70	510	
ADY3	61	530	
GUD1	64	716	
AIM6	19	125	
PHO13	19	239	
YPD1	2	1	
GYP7	85	750	
MFG1	38	318	
OST4	1	0	
BRE4	89	1119	
PTP1	44	472	
SSB1	48	401	
YDL228C	28	237	
HO	83	1018	
GCS1	25	244	
SHS1	73	512	
WHI4	74	1302	
HBT1	131	2275	
FMP45	55	711	
YDL221W	44	1090	
CDC13	70	1533	
DTD1	8	10	
YDL218W	23	278	
TIM22	11	28	
RRI1	48	496	
GDH2	129	2006	
PRR2	104	1447	
NOP6	24	239	
SHR3	13	27	
YDL211C	25	117	
UGA4	57	844	
CWC2	27	122	
NHP2	4	3	
GLE1	28	148	
YDL206W	74	717	
HEM3	42	325	
RTN2	77	1054	
ACK1	57	824	
MRPL11	14	46	
TRM8	46	536	
MGT1	25	108	
YDL199C	73	1149	
GGC1	10	22	
ASF2	61	577	
YDL196W	45	616	
SEC31	44	443	
SNF3	59	393	
NUS1	12	46	
ARF1	14	32	
RPL35A	16	44	
UFD2	89	843	
RBS1	26	179	
PPH22	55	479	
YDL187C	9	43	
YDL186W	23	113	
YDL185C-A	14	164	
VMA1	80	613	
RPL41A	10	53	
YDL183C	57	755	
LYS20	82	1139	
INH1	16	65	
YDL180W	47	253	
PCL9	22	185	
DLD2	67	721	
YDL177C	29	279	
YDL176W	76	749	
AIR2	39	366	
DLD1	104	1518	
PAR32	23	119	
YDL172C	3	2	
GLT1	253	4203	
UGA3	86	1099	
UGX2	28	248	
SFA1	39	406	
NRP1	81	986	
FAP7	17	34	
CDC36	21	78	
CDC9	54	488	
YDL163W	14	221	
YDL162C	23	528	
ENT1	38	215	
MHF2	10	72	
DHH1	58	590	
YDL159W-A	9	128	
STE7	53	573	
YDL159C-B	10	80	
YDL158C	20	155	
YDL157C	10	69	
CMR1	63	943	
CLB3	75	1078	
MSH5	115	1970	
SAS10	34	116	
YDL152W	20	117	
BUD30	6	15	
RPC53	22	103	
ATG9	72	744	
NOP14	91	710	
RPN5	20	78	
LDB17	20	115	
COP1	37	105	
YDL144C	55	465	
CCT4	33	144	
CRD1	32	258	
BPL1	42	235	
RPO21	106	662	
SCM3	22	52	
RGT2	78	637	
ARF2	24	224	
RPL35B	23	54	
RDI1	27	192	
PPH21	58	858	
RPL41B	3	2	
SRF1	38	594	
CDC53	51	292	
LYS21	98	1236	
STF1	18	181	
RPP1B	15	95	
YDL129W	21	264	
VCX1	73	753	
PCL2	67	1041	
CDC48	45	375	
HNT1	18	59	
YDL124W	53	575	
SNA4	18	263	
UBP1	64	705	
EXP1	26	465	
YFH1	18	79	
HEM25	42	356	
YDL118W	24	144	
CYK3	46	283	
NUP84	37	185	
IWR1	47	508	
YDL114W-A	2	1	
YDL114W	30	121	
ATG20	85	855	
TRM3	122	980	
RRP42	22	113	
TMA17	24	439	
YDL109C	79	1095	
KIN28	21	124	
MSS2	25	187	
PHO2	64	317	
NSE4	14	73	
QRI7	49	493	
QRI1	21	145	
POL3	61	594	
DUN1	45	680	
GET3	54	346	
BUG1	22	116	
SNU23	19	58	
RPN6	36	231	
OPI6	26	361	
PMT1	115	1104	
YDL094C	31	275	
PMT5	84	1356	
SRP14	37	491	
UBX3	42	365	
RAM1	24	49	
NUR1	48	289	
ASM4	57	626	
LUC7	13	35	
YDL086W	36	419	
YDL086C-A	20	257	
YDL085C-A	20	116	
NDE2	67	713	
SUB2	21	53	
RPS16B	26	150	
RPL13A	29	170	
RPP1A	5	15	
THI3	78	992	
MRK1	84	993	
MDH3	33	248	
VAM6	72	434	
RXT3	16	130	
RPL31A	5	9	
BRE1	51	168	
YDL073W	126	1201	
YET3	17	221	
YDL071C	49	834	
BDF2	49	286	
CBS1	26	146	
YDL068W	14	55	
COX9	7	63	
IDP1	70	1040	
PEX19	35	201	
UBC9	19	45	
SYO1	56	548	
YDL062W	10	44	
RPS29B	2	2	
TSR1	66	373	
RAD59	28	203	
USO1	94	651	
YDL057W	48	331	
MBP1	101	595	
PSA1	11	32	
MCH1	104	1366	
PBP4	18	105	
SLC1	60	371	
LHP1	42	429	
YDL050C	21	141	
KNH1	53	837	
STP4	104	1605	
SIT4	42	176	
NPC2	16	397	
MRP10	14	20	
FAD1	21	53	
MTF2	49	214	
PRP11	22	74	
SIR2	74	851	
YDL041W	32	220	
NAT1	58	669	
PRM7	73	892	
BSC1	13	185	
PUS9	78	1218	
GPR1	83	775	
YDL034W	15	70	
SLM3	83	1063	
YDL032W	14	142	
DBP10	40	304	
PRP9	42	160	
ARP2	10	31	
MPS1	71	701	
MRX9	35	307	
YDL026W	27	398	
RTK1	61	784	
YDL025W-A	4	4	
DIA3	60	735	
YDL022C-A	17	166	
YDL023C	17	161	
GPD1	62	746	
GPM2	44	470	
RPN4	64	835	
OSH2	157	3327	
ERP3	27	320	
CDC7	42	267	
YDL016C	11	41	
TSC13	23	80	
NOP1	12	11	
SLX5	50	325	
YDL012C	17	97	
YDL011C	20	226	
GRX6	41	287	
YDL009C	15	110	
APC11	34	301	
YDL007C-A	9	84	
RPT2	36	140	
PTC1	36	165	
MED2	38	201	
ATP16	15	24	
MCD1	37	229	
NHP10	27	185	
RMD1	111	1912	
NTH1	126	1550	
YRB1	10	13	
RCR2	59	807	
YDR003W-A	11	126	
RAD57	48	462	
MAF1	23	224	
SOK1	73	591	
TRP1	65	562	
YDR008C	43	463	
GAL3	131	1868	
YDR010C	76	2183	
SNQ2	208	3806	
RPL4B	26	231	
PSF1	3	2	
RAD61	39	336	
HED1	22	279	
YDR015C	9	84	
DAD1	2	1	
KCS1	127	1610	
YDR018C	60	619	
GCV1	63	820	
DAS2	62	1100	
FAL1	23	107	
ATG31	33	284	
SES1	16	47	
FYV1	40	495	
RPS11A	11	17	
NSI1	89	844	
VPS54	77	587	
REG1	103	860	
YDR029W	9	22	
RAD28	83	1036	
MIX14	14	67	
PST2	25	234	
MRH1	46	828	
LYS14	86	743	
YDR034C-A	4	4	
YDR034W-B	4	20	
ARO3	60	634	
EHD3	58	816	
KRS1	61	316	
ENA5	254	2963	
ENA2	283	3316	
ENA1	269	3183	
RSM10	14	38	
YDR042C	9	56	
NRG1	27	176	
HEM13	10	16	
RPC11	7	9	
BAP3	52	416	
HEM12	64	509	
YDR048C	27	287	
VMS1	40	154	
TPI1	0	0	
DET1	73	980	
DBF4	40	198	
YDR053W	9	16	
CDC34	26	118	
PST1	38	433	
EMC10	17	92	
YOS9	81	837	
TGL2	34	174	
UBC5	16	38	
MAK21	68	338	
YDR061W	65	537	
LCB2	45	189	
AIM7	22	136	
RPS13	12	30	
RRG1	35	219	
RTR2	45	768	
OCA6	38	467	
DOS2	21	310	
DOA4	51	259	
FMP16	13	27	
PAA1	31	144	
IPT1	86	1395	
SNF11	24	107	
TPS2	101	777	
PPH3	30	208	
RAD55	48	371	
SED1	37	581	
SHU2	36	402	
PET100	12	73	
TFB5	10	31	
VPS41	79	366	
PDC2	36	90	
STN1	44	356	
