Gene name	Number of transposons per gene	Number of reads per gene	
HDA2	36	235	
MHR1	13	67	
SUR2	47	702	
ATP5	1	0	
BFR2	20	67	
PRO1	53	324	
CFT1	94	650	
GPI11	13	29	
RSC3	27	109	
CPR5	40	492	
HNT2	26	218	
YDR306C	41	401	
PMT7	73	754	
SRB7	13	38	
GIC2	54	437	
SUM1	78	593	
TFB1	31	316	
SSF2	62	1075	
PIB1	27	223	
RAD34	59	408	
IPK1	29	147	
OMS1	36	328	
HIM1	26	107	
MCM21	24	59	
YFT2	36	369	
SWA2	59	503	
DAD4	6	18	
YDR320W-B	15	162	
ASP1	33	375	
MRPL35	24	112	
TIM11	8	28	
PEP7	75	1090	
UTP4	35	145	
YCG1	52	328	
YSP2	100	756	
YDR327W	6	18	
SKP1	15	47	
PEX3	60	529	
UBX5	57	552	
GPI8	32	134	
IRC3	54	551	
RQC1	70	698	
SWR1	159	3383	
MSN5	91	891	
MRX8	38	275	
MRPS28	30	199	
YDR338C	72	750	
FCF1	2	1	
YDR340W	21	484	
YDR341C	40	158	
HXT7	74	706	
HXT6	87	804	
YDR344C	29	512	
HXT3	64	811	
SVF1	59	882	
MRP1	46	288	
PAL1	55	983	
YPS7	36	153	
ATP22	27	191	
SBE2	56	481	
YPQ2	26	465	
TRR1	22	117	
TRP4	52	570	
YDR354C-A	12	34	
YDR355C	7	6	
SPC110	46	248	
CNL1	21	107	
GGA1	42	350	
EAF1	55	310	
OPI7	3	4	
BCP1	32	187	
TFC6	69	418	
ESC2	33	249	
SEM1	11	14	
CDC40	43	212	
ESF1	30	76	
YDR366C	27	149	
KEI1	9	19	
YPR1	20	129	
XRS2	46	286	
DXO1	38	275	
CTS2	54	632	
YDR371C-A	6	5	
VPS74	47	366	
FRQ1	11	25	
PHO92	34	519	
WIP1	4	20	
BCS1	51	346	
ARH1	25	67	
ATP17	13	25	
LSM6	6	6	
RGA2	87	1128	
SDH6	19	146	
ARO10	87	833	
YRA1	24	57	
YDR381C-A	2	1	
RPP2B	10	44	
NKP1	27	374	
ATO3	41	1100	
EFT2	90	923	
MUS81	69	492	
YDR387C	78	883	
RVS167	58	350	
SAC7	38	241	
UBA2	34	473	
YDR391C	25	253	
SPT3	43	346	
SHE9	37	246	
RPT3	26	160	
SXM1	83	789	
YDR396W	15	89	
NCB2	15	89	
UTP5	29	117	
HPT1	16	84	
URH1	38	178	
YDR401W	36	469	
DIT2	54	622	
DIT1	67	1177	
RPB7	7	7	
MRP20	48	323	
PDR15	200	4295	
YDR406W-A	2	1	
TRS120	102	658	
ADE8	24	156	
SIZ1	48	456	
STE14	34	646	
DFM1	50	739	
RRP17	7	12	
YDR413C	4	3	
ERD1	38	229	
YDR415C	34	431	
SYF1	57	393	
YDR417C	6	24	
RPL12B	11	39	
RAD30	70	1020	
HKR1	100	988	
ARO80	72	733	
SIP1	102	1380	
CAD1	57	667	
DYN2	22	55	
SNX41	68	641	
YDR426C	19	141	
RPN9	26	106	
BNA7	24	117	
TIF35	13	17	
CYM1	102	1306	
YDR431W	28	358	
NPL3	25	69	
YDR433W	7	21	
GPI17	51	351	
PPM1	33	242	
PPZ2	94	1426	
GPI19	12	100	
THI74	38	328	
LRS4	10	51	
DOT1	75	989	
APT2	16	62	
YDR442W	20	169	
SSN2	157	1770	
YDR444W	75	639	
YDR445C	32	579	
ECM11	30	283	
RPS17B	21	103	
ADA2	32	222	
UTP6	29	304	
RPS18A	10	20	
YHP1	31	285	
PPN1	73	655	
TSA2	48	692	
GUK1	8	9	
YDR455C	16	117	
NHX1	51	511	
TOM1	332	3887	
HEH2	48	544	
PFA5	43	438	
TFB3	12	43	
MFA1	9	45	
YDR461C-A	17	133	
MRPL28	12	36	
STP1	44	326	
SPP41	56	309	
YDR464C-A	3	5	
RMT2	21	143	
PKH3	87	888	
YDR467C	16	99	
TLG1	11	37	
SDC1	22	111	
UGO1	35	187	
RPL27B	24	134	
TRS31	24	54	
PRP3	60	664	
JIP4	70	791	
YDR476C	58	821	
SNF1	61	681	
SNM1	29	77	
PEX29	50	383	
DIG2	58	1018	
PHO8	120	1947	
CWC21	40	546	
KRE2	34	357	
VPS52	28	163	
VPS72	49	607	
VPS60	32	278	
RIB3	22	53	
PAC11	76	416	
SLD5	36	260	
PKH1	106	1370	
YDR491C	60	1600	
IZH1	43	550	
MZM1	7	48	
RSM28	32	413	
VPS3	63	419	
PUF6	71	658	
ITR1	85	1324	
SEC20	15	185	
LCD1	36	126	
RPL37B	22	164	
PLM2	60	879	
SAM2	56	674	
LPP1	48	618	
SPG3	6	12	
PSP1	30	181	
GMC1	100	2339	
GIN4	90	664	
GNP1	52	615	
YDR509W	15	51	
SMT3	10	47	
YDR510C-A	7	34	
SDH7	17	258	
EMI1	77	1046	
GRX2	11	117	
YDR514C	37	411	
SLF1	19	110	
EMI2	65	1135	
GRH1	31	237	
EUG1	63	629	
FPR2	22	292	
URC2	66	442	
YDR521W	10	58	
SPS2	37	375	
SPS1	58	546	
AGE1	34	104	
YDR524W-C	4	4	
YDR524C-B	1	0	
YDR524C-A	15	126	
API2	32	452	
SNA2	25	832	
YDR526C	5	5	
RBA50	28	115	
HLR1	32	386	
QCR7	16	141	
APA2	80	525	
CAB1	44	280	
KRE28	9	92	
HSP31	16	133	
FIT1	39	503	
YDR535C	51	1038	
STL1	67	1049	
YDR537C	33	283	
PAD1	41	397	
FDC1	44	346	
IRC4	8	15	
YDR541C	45	328	
PAU10	23	175	
YDR543C	25	621	
YDR544C	36	711	
YRF1-1	816	7168	
YDR545C-A	75	497	
YIL177C	762	10498	
YIL177W-A	60	400	
PAU14	28	261	
VTH1	337	5463	
IMA3	114	1297	
YIL171W-A	29	345	
CSS1	54	454	
YIL166C	72	757	
YIL165C	20	90	
NIT1	48	671	
YIL163C	15	107	
SUC2	90	1289	
YIL161W	17	359	
POT1	54	914	
BNR1	133	1038	
AIM20	16	150	
COA1	20	134	
YIL156W-A	25	406	
YIL156W-B	17	81	
UBP7	108	1240	
GUT2	107	1599	
IMP2'	86	1791	
RRD1	61	517	
YIL152W	33	575	
ESL1	83	895	
MCM10	62	749	
MLP2	136	1049	
RPL40A	15	52	
SLN1	69	362	
ATG32	32	426	
PAN6	25	149	
NDC80	46	316	
SSL2	72	767	
YIL142C-A	14	83	
CCT2	54	313	
YIL141W	21	217	
AXL2	71	1118	
REV7	24	141	
TPM2	19	93	
TMA108	112	1250	
OM45	41	568	
VHS2	58	531	
YIL134C-A	19	631	
FLX1	19	184	
RPL16A	10	43	
CSM2	50	643	
FKH1	77	627	
ASG1	75	641	
TAO3	187	2015	
MET18	94	999	
RRT14	14	26	
STH1	60	656	
KGD1	143	1504	
AYR1	38	482	
SIM1	61	1063	
POG1	62	691	
QDR2	59	494	
QDR1	65	657	
RPI1	34	703	
RHO3	25	197	
PRM5	21	96	
HIS5	53	884	
YIL115W-A	13	135	
NUP159	121	720	
POR2	25	156	
SDP1	39	621	
HOS4	125	2077	
COX5B	18	257	
HPM1	38	488	
SEC24	83	668	
YIL108W	126	2314	
PFK26	103	1558	
MOB1	18	53	
SLM1	119	1364	
YIL105W-A	6	83	
SHQ1	44	202	
DPH1	63	601	
YIL102C-A	5	8	
YIL102C	7	12	
XBP1	100	1332	
YIL100C-A	41	1209	
YIL100W	41	1213	
SGA1	57	1069	
FMC1	15	24	
FYV10	54	463	
BMT5	46	496	
PRK1	91	976	
LYS12	55	517	
RSM25	52	464	
YIL092W	79	920	
UTP25	65	328	
ICE2	60	934	
YIL089W	14	53	
AVT7	90	1125	
AIM19	13	215	
YIL086C	26	404	
KTR7	70	679	
SDS3	29	238	
CAB2	21	147	
TY3A-I	74	829	
AIR1	53	479	
THS1	41	314	
YIL077C	77	1150	
SEC28	42	240	
RPN2	103	1017	
SER33	94	1641	
SPO22	101	708	
HOP1	25	282	
YIL071W-A	23	154	
PCI8	47	617	
MAM33	31	301	
RPS24B	13	60	
YIL068W-A	30	247	
SEC6	56	314	
YIL067C	80	1114	
YIL066W-A	15	91	
RNR3	120	1705	
FIS1	37	295	
EFM4	41	952	
YRB2	18	53	
ARC15	4	18	
SNP1	23	201	
YIL060W	6	10	
YIL059C	7	38	
YIL058W	31	369	
RGI2	26	350	
VHR1	95	1171	
YIL055C	132	2137	
YIL054W	31	478	
GPP1	28	197	
RPL34B	19	43	
MMF1	29	288	
PCL7	47	498	
DFG10	22	48	
NEO1	58	226	
YIL047C-A	25	414	
SYG1	137	1762	
YIL046W-A	49	2046	
MET30	53	712	
PIG2	69	969	
AGE2	22	192	
CBR1	49	620	
PKP1	67	1136	
GVP36	36	590	
APQ12	14	259	
TED1	71	1389	
NOT3	40	101	
PRM2	73	1154	
CST6	93	1102	
CKA1	66	516	
CAP2	42	311	
BCY1	46	299	
YIL032C	32	212	
ULP2	89	451	
YIL030W-A	19	103	
SSM4	198	3388	
YIL029W-A	39	968	
YIL029C	9	31	
YIL028W	2	2	
EMC5	26	495	
IRR1	95	435	
YIL025C	9	69	
YIL024C	49	644	
YKE4	71	1852	
TIM44	38	184	
RPB3	40	182	
YIL021C-A	8	33	
YIL020C-A	9	41	
HIS6	53	998	
FAF1	44	235	
RPL2B	38	152	
VID28	103	945	
SNL1	24	143	
BAR1	111	1816	
YIL014C-A	12	178	
MNT3	74	774	
PDR11	175	2943	
YIL012W	52	1816	
TIR3	31	361	
DOT5	33	232	
EST3	33	439	
FAA3	132	2157	
URM1	18	46	
NAS2	57	667	
YIA6	98	1731	
EPS1	151	3046	
BET1	12	12	
CFD1	44	846	
YIL002W-A	19	104	
INP51	124	1132	
YIL001W	129	2127	
SGN1	55	387	
MPH1	191	2907	
AIM21	114	1579	
DJP1	72	803	
IST3	42	255	
PAN1	190	4393	
EGH1	93	1285	
PRI1	14	58	
MSL1	19	56	
DSN1	37	212	
STS1	28	166	
SQT1	52	554	
GAT4	35	737	
VLD1	64	1113	
RPR2	13	18	
YIR016W	76	1234	
MET28	110	2609	
YIR017W-A	117	2756	
YAP5	63	1807	
YIR018C-A	8	147	
FLO11	98	860	
YIR020C	7	21	
YIR020W-A	20	233	
YIR020C-B	20	202	
MRS1	29	193	
YIR021W-A	20	391	
SEC11	29	58	
DAL81	132	1929	
YIR023C-A	11	94	
INA22	32	312	
MND2	65	435	
YVH1	73	916	
DAL1	78	1302	
DAL4	142	2478	
DAL2	86	1443	
DCG1	34	184	
YIR030W-A	28	460	
DAL7	95	2343	
DAL3	53	1107	
MGA2	101	1334	
LYS1	56	479	
YIR035C	52	963	
IRC24	61	1185	
YIR036W-A	37	847	
HYR1	22	264	
GTT1	22	136	
YPS6	24	140	
YIR040C	34	336	
PAU15	13	139	
YIR042C	23	113	
Q0010	0	0	
Q0017	0	0	
Q0032	0	0	
AI1	268	4975	
AI2	604	11540	
AI3	636	11877	
AI4	708	12363	
AI5_ALPHA	792	14365	
COX1	793	14366	
AI5_BETA	1	0	
ATP8	0	0	
ATP6	5	21	
Q0092	0	0	
BI2	54	197	
BI3	56	201	
BI4	76	253	
COB	79	261	
OLI1	1	0	
VAR1	3	4	
Q0142	0	0	
Q0143	0	0	
Q0144	0	0	
SCEI	2	1	
Q0182	0	0	
COX2	110	3985	
Q0255	3	5	
COX3	181	2906	
Q0297	0	0	
YEL077C	504	5857	
YEL077W-A	54	396	
YEL076C-A	109	924	
YEL076C	89	781	
YEL075W-A	84	590	
YEL075C	27	128	
YEL074W	54	927	
YEL073C	31	312	
RMD6	37	375	
DLD3	61	729	
DSF1	67	927	
HXT13	79	808	
YEL068C	23	128	
YEL067C	78	1880	
HPA3	34	475	
SIT1	86	1353	
AVT2	99	2293	
CAN1	73	856	
NPR2	33	119	
CIN8	67	428	
PRB1	105	1689	
SOM1	28	293	
HHY1	65	2119	
PCM1	46	317	
YEL057C	41	357	
HAT2	52	380	
POL5	56	437	
RPL12A	15	78	
YEL053W-A	9	19	
MAK10	54	526	
AFG1	42	633	
VMA8	3	2	
YEL050W-A	14	74	
RML2	39	223	
PAU2	20	94	
TCA17	2	2	
FRD1	97	1422	
GLY1	21	57	
YEL045C	53	1320	
IES6	15	27	
YEL043W	114	1688	
GDA1	65	877	
YEF1	56	804	
UTR2	74	862	
CYC7	11	67	
UTR4	33	253	
RAD23	43	534	
ANP1	48	403	
UTR5	82	2087	
YEL034C-A	50	314	
HYP2	37	204	
MTC7	60	1067	
MCM3	78	335	
YEL032C-A	9	13	
SPF1	136	1281	
YEL030C-A	10	84	
ECM10	65	672	
BUD16	20	100	
YEL028W	16	227	
VMA3	0	0	
SNU13	1	0	
YEL025C	164	2229	
RIP1	36	394	
YEL023C	103	1977	
GEA2	102	546	
URA3	597	38549	
YEL020C-B	14	73	
TIM9	12	36	
PXP1	111	1875	
MMS21	37	191	
YEL018C-A	38	395	
EAF5	74	964	
PMP2	9	13	
GTT3	61	372	
NPP2	103	1754	
EDC3	117	1340	
YEL014C	41	379	
VAC8	48	214	
UBC8	54	676	
GLC3	183	4466	
YEL010W	22	182	
YEL009C-A	29	358	
GCN4	38	120	
YEL008W	89	2870	
YEL008C-A	24	507	
MIT1	65	514	
YEA6	70	854	
VAB2	72	1430	
YEA4	60	671	
GIM4	28	549	
WBP1	35	82	
IRC22	62	1379	
MNN1	171	2808	
NOP16	18	94	
PMI40	28	123	
FMP52	80	1493	
YND1	147	3291	
NUG1	55	241	
YER006C-A	34	442	
PAC2	61	764	
TMA20	33	235	
SEC3	122	1007	
NTF2	18	21	
YER010C	35	570	
TIR1	38	279	
PRE1	17	29	
PRP22	95	878	
HEM14	38	99	
BUD25	71	1340	
FAA2	101	1797	
BIM1	89	1586	
AFG3	87	933	
SPC25	21	59	
ISC1	189	3766	
SBH2	11	29	
GPA2	67	699	
RPN3	41	487	
SRB4	61	317	
PRO3	25	43	
YER023C-A	7	10	
YAT2	155	2210	
GCD11	20	120	
CHO1	22	39	
GAL83	72	936	
MIG3	112	1912	
SMB1	12	93	
CHZ1	9	18	
YPT31	24	193	
FIR1	104	1318	
ZRG8	103	1292	
YER034W	95	2196	
EDC2	84	2035	
ARB1	44	118	
PHM8	67	1154	
KRE29	17	81	
FMP49	17	144	
HVG1	36	439	
YER039C-A	15	214	
GLN3	49	285	
YEN1	107	1559	
MXR1	40	364	
SAH1	46	405	
ERG28	18	105	
MEI4	93	1193	
ACA1	49	451	
SPO73	31	258	
YER046W-A	27	173	
SAP1	89	671	
CAJ1	65	627	
ISD11	12	49	
TPA1	61	835	
RSM18	6	11	
JHD1	85	1047	
HOM3	61	1144	
PIC2	53	786	
YER053C-A	7	7	
GIP2	77	1122	
HIS1	60	1819	
FCY2	62	813	
RPL34A	26	153	
HMF1	11	61	
PET117	9	21	
PCL6	30	206	
FCY21	60	749	
FCY22	59	540	
CEM1	46	345	
GPP2	43	264	
THO1	15	129	
VHR2	51	579	
ICL1	84	1364	
RRT13	19	161	
YER066C-A	18	90	
RGI1	11	84	
YER067C-A	9	27	
MOT2	57	203	
YER068C-A	18	89	
ARG5	6	63	249
RNR1	87	515	
TDA2	10	26	
VTC1	27	172	
ALD5	42	485	
RPS24A	10	17	
YOS1	10	13	
PTP3	102	1860	
YER076C	57	1046	
YER076W-A	19	257	
MRX1	83	1038	
ICP55	91	1436	
YER078W-A	19	75	
YER079W	39	349	
YER079C-A	23	242	
AIM9	74	1140	
SER3	70	780	
UTP7	37	274	
GET2	38	464	
YER084W	35	688	
YER084W-A	15	77	
YER085C	16	77	
ILV1	66	827	
AIM10	56	384	
YER087C-A	24	139	
SBH1	11	15	
DOT6	120	2430	
YER088C-A	68	1569	
YER088W-B	20	455	
PTC2	92	2338	
TRP2	68	1135	
YER090C-A	0	0	
MET6	43	158	
YER091C-A	39	514	
IES5	13	75	
TSC11	115	1314	
AIM11	24	219	
PUP3	14	34	
RAD51	19	70	
SHC1	50	406	
YER097W	21	105	
UBP9	61	561	
PRS2	64	878	
UBC6	14	27	
AST2	51	591	
RPS8B	18	49	
SSA4	61	365	
RTT105	48	600	
NUP157	91	1048	
MAM1	17	96	
GLE2	25	68	
YER107W-A	12	57	
KAP123	76	617	
SWI4	56	318	
LSM4	1	0	
TMN3	102	1217	
BOI2	104	1488	
SPR6	23	303	
SLX8	36	347	
RPL23B	21	108	
SHO1	18	100	
AVT6	78	1041	
YER119C-A	31	530	
SCS2	33	265	
YER121W	22	221	
GLO3	40	352	
YCK3	55	420	
DSE1	56	524	
RSP5	37	130	
NSA2	24	91	
LCP5	33	115	
VFA1	25	357	
SAK1	126	1804	
YER130C	51	504	
RPS26B	3	2	
PMD1	152	1476	
GLC7	19	93	
YER133W-A	5	7	
YER134C	11	94	
YER135C	20	136	
GDI1	30	168	
YER137C	20	403	
YER137W-A	16	107	
YER138W-A	6	6	
RTR1	13	107	
EMP65	76	892	
COX15	40	289	
MAG1	35	270	
DDI1	59	673	
UBP5	101	1360	
FTR1	68	734	
YER145C-A	22	191	
LSM5	10	23	
SCC4	91	1357	
YER147C-A	10	53	
SPT15	16	104	
YER148W-A	24	239	
PEA2	36	374	
SPI1	22	165	
UBP3	86	913	
YER152C	99	1732	
YER152W-A	42	926	
PET122	50	638	
OXA1	65	693	
BEM2	139	849	
YER156C	38	346	
COG3	42	336	
YER158C	37	303	
YER158W-A	4	3	
BUR6	10	12	
SPT2	21	121	
RAD4	78	826	
GCG1	46	470	
CHD1	104	880	
PAB1	32	146	
YER165C-A	8	10	
DNF1	157	2090	
BCK2	89	661	
CCA1	38	205	
RPH1	107	887	
ADK2	31	416	
RAD3	38	213	
BRR2	124	1068	
YER172C-A	17	31	
RAD24	85	755	
GRX4	31	391	
TMT1	34	162	
YER175W-A	10	73	
ECM32	208	3951	
BMH1	42	811	
PDA1	44	327	
DMC1	50	880	
ISC10	14	36	
SLO1	9	19	
YER181C	7	45	
FMP10	29	222	
FAU1	34	404	
TOG1	61	697	
PUG1	40	765	
YER186C	26	310	
YER187W	23	257	
YER188W	53	679	
YER188C-A	38	803	
YER189W	30	120	
YRF1-2	760	6722	
YER190C-A	50	229	
YER190C-B	74	473	
YFL068W	75	406	
YFL067W	28	175	
YFL066C	187	1577	
YFL065C	56	464	
YFL064C	65	434	
YFL063W	54	1219	
COS4	67	711	
DDI2	36	411	
SNO3	53	971	
SNZ3	57	525	
THI5	66	753	
AGP3	71	876	
AQY3	95	1288	
DAK2	61	431	
ZNF1	47	727	
YFL051C	17	179	
ALR2	100	1654	
SWP82	72	977	
EMP47	42	461	
RGD2	76	699	
FMP32	41	866	
SEC53	6	7	
OTU1	40	557	
LAM5	115	2050	
YFL041W-A	6	15	
FET5	104	1717	
YFL040W	83	1317	
ACT1	42	326	
YPT1	22	102	
TUB2	49	370	
RPO41	86	584	
MOB2	23	113	
RPL22B	38	502	
MIL1	163	2311	
RIM15	224	2110	
YFL032W	26	436	
HAC1	18	61	
YFL031C-A	1	0	
AGX1	68	1332	
CAK1	31	205	
CAF16	54	858	
GYP8	84	1287	
STE2	75	1267	
BST1	76	302	
EPL1	69	435	
BUD27	128	2089	
FRS2	55	433	
YFL021C-A	112	3062	
GAT1	90	1739	
PAU5	17	156	
YFL019C	4	9	
LPD1	38	216	
SMX2	3	2	
GNA1	14	122	
MDJ1	98	839	
YFL015W-A	26	391	
YFL015C	73	1189	
HSP12	35	302	
YFL013W-A	112	1973	
IES1	155	2311	
YFL012W-A	56	1139	
YFL012W	20	108	
HXT10	71	1065	
AUA1	20	143	
WWM1	50	633	
CDC4	65	430	
SMC1	80	233	
BLM10	342	5760	
SEC4	14	37	
VTC2	89	1066	
MSH4	197	2947	
SPB4	54	319	
DEG1	67	384	
LOC1	21	69	
NIC96	107	1918	
YPI1	14	50	
RPN11	25	54	
SAD1	33	172	
YFR006W	135	1646	
YFH7	82	1094	
FAR7	33	142	
GCN20	120	1958	
YFR009W-A	4	9	
UBP6	74	681	
YFR010W-A	15	331	
MIC19	47	930	
DCV1	61	1026	
YFR012W-A	11	18	
IOC3	132	2368	
CMK1	101	1119	
GSY1	158	2732	
YFR016C	152	1900	
IGD1	68	1655	
YFR018C	205	6384	
FAB1	245	2471	
CSS2	47	403	
ATG18	100	1426	
ROG3	133	1812	
PES4	80	1546	
LSB3	58	429	
HIS2	57	1290	
ULI1	51	1021	
ECO1	24	62	
CDC14	46	355	
PTR3	72	531	
MET10	92	834	
SMC2	85	452	
RPL2A	42	331	
RRT5	34	342	
RPL29	12	26	
YFR032C-B	38	768	
QCR6	54	846	
PHO4	189	5571	
YFR034W-A	58	1872	
YFR035C	62	2356	
CDC26	23	119	
YFR036W-A	25	115	
RSC8	46	148	
IRC5	86	993	
OSW7	15	65	
SAP155	82	710	
ERJ5	67	1253	
KEG1	8	23	
IRC6	48	995	
DUG1	83	1481	
YFR045W	34	262	
CNN1	30	170	
BNA6	35	469	
RMD8	105	1182	
YMR31	21	295	
PRE4	43	308	
RET2	95	2017	
RPN12	21	49	
YFR052C-A	9	40	
HXK1	54	991	
YFR054C	20	307	
YFR056C	22	156	
IRC7	51	448	
YFR057W	7	44	
COS12	0	0	
YGL262W	0	0	
PAU11	19	163	
YGL260W	19	212	
YPS5	10	128	
YGL258W-A	5	44	
VEL1	21	98	
MNT2	42	390	
ADH4	61	426	
ZRT1	59	412	
FZF1	39	782	
HXK2	63	673	
RTG2	50	260	
HFM1	91	723	
RMR1	18	76	
ZIP2	96	1330	
PDE1	65	1076	
BRR6	11	24	
RAI1	29	97	
GUS1	30	168	
RTF1	53	638	
TAD1	29	237	
YGL242C	30	354	
KAP114	82	675	
DOC1	23	94	
YGL239C	11	168	
CSE1	46	331	
HAP2	32	329	
MTO1	114	1550	
YGL235W	33	420	
ADE5	7	32	142
SEC15	42	171	
TAN1	47	556	
EMC4	23	262	
YGL230C	8	34	
SAP4	80	894	
SHE10	64	943	
VID30	102	808	
OST5	7	30	
MTC3	13	95	
VRG4	20	62	
SDT1	37	403	
COG1	19	100	
EDC1	14	42	
NIF3	30	208	
BOL2	22	164	
MDM34	58	368	
YGL218W	39	247	
YGL217C	18	133	
KIP3	79	825	
CLG1	32	186	
YGL214W	23	215	
SKI8	46	376	
VAM7	12	55	
NCS6	26	206	
YPT32	22	211	
MIG2	49	711	
SIP2	80	1179	
SPT16	62	349	
CHC1	91	476	
POX1	94	1196	
YGL204C	14	148	
KEX1	79	698	
ARO8	64	618	
MCM6	106	717	
EMP24	37	583	
YGL199C	18	115	
YIP4	27	365	
MDS3	92	689	
DSD1	41	609	
GCN1	181	1384	
YGL194C-A	7	21	
HOS2	50	457	
YGL193C	10	91	
IME4	87	927	
COX13	28	435	
CDC55	58	306	
RPS26A	4	3	
YGL188C-A	5	17	
YGL188C	23	413	
COX4	11	44	
TPN1	69	881	
YGL185C	75	1209	
STR3	63	936	
MND1	47	777	
YGL182C	25	384	
GTS1	76	872	
ATG1	95	1309	
TOS3	55	471	
MPT5	61	500	
YGL177W	12	135	
YGL176C	45	517	
SAE2	27	235	
BUD13	39	738	
XRN1	131	1416	
NUP49	32	248	
ROK1	32	145	
SPO74	28	329	
SUA5	25	234	
HUR1	13	29	
PMR1	47	184	
CUP2	46	475	
YGL165C	45	444	
YRB30	40	413	
RAD54	76	525	
SUT1	44	383	
YIP5	40	394	
AIM14	73	685	
YGL159W	39	255	
RCK1	69	1110	
ARI1	36	183	
AMS1	135	1593	
CDC43	39	238	
LYS5	28	119	
PEX14	40	262	
YGL152C	35	318	
NUT1	104	1136	
INO80	132	1378	
YGL149W	27	550	
ARO2	46	454	
RPL9A	21	178	
RRT6	55	779	
TIP20	51	288	
ROG1	60	973	
MRF1	54	375	
GPI10	35	353	
HUL5	88	806	
YGL140C	85	780	
FLC3	78	852	
YGL138C	25	113	
SEC27	55	276	
MRM2	39	581	
RPL1B	25	164	
PCL10	46	442	
ITC1	94	1035	
YGL132W	3	9	
SNT2	123	1543	
CEG1	9	10	
RSM23	19	46	
CWC23	3	3	
SOH1	23	140	
SCS3	142	3296	
MET13	83	755	
MON1	35	165	
RPS2	6	7	
YGL123C-A	1	0	
NAB2	40	268	
GPG1	11	27	
PRP43	82	553	
COQ8	58	481	
YGL118C	39	594	
YGL117W	43	599	
CDC20	46	243	
SNF4	16	63	
YGL114W	68	822	
SLD3	64	446	
TAF6	1	0	
NSA1	35	122	
CUE3	70	636	
YGL109W	21	137	
YGL108C	18	51	
RMD9	24	132	
MLC1	3	2	
ARC1	51	344	
VPS73	52	466	
RPL28	18	72	
YGL102C	8	29	
YGK1	15	51	
SEH1	34	292	
LSG1	29	74	
USE1	4	4	
SRM1	47	483	
TOS8	20	189	
VPS45	43	204	
PAN2	124	1012	
SPC105	54	537	
NUP145	73	748	
NBP35	24	361	
LIF1	21	119	
MF(ALPHA)2	17	279	
YGL088W	39	792	
MMS2	38	675	
MAD1	68	772	
LCL3	39	406	
GUP1	37	133	
SCY1	98	1148	
YGL082W	59	771	
YGL081W	42	456	
MPC1	25	173	
KXD1	30	274	
DBP3	37	132	
HNM1	93	1130	
RPL7A	21	97	
MPS2	28	193	
YGL074C	20	704	
HSF1	98	1809	
YGL072C	60	1739	
AFT1	78	1108	
RPB9	28	270	
YGL069C	12	48	
MNP1	14	54	
NPY1	34	538	
SGF73	53	491	
ALG2	35	188	
MRH4	45	288	
PUS2	109	1513	
YGL063C-A	27	398	
PYC1	131	2092	
DUO1	40	257	
YBP2	60	431	
PKP2	62	740	
RAD6	16	123	
GEP7	30	304	
SDS23	57	1007	
OLE1	32	95	
ERV14	19	115	
PRM8	26	142	
YGL052W	20	115	
MST27	78	957	
TYW3	43	667	
TIF4632	70	519	
RPT6	11	16	
ALG13	12	17	
RIM8	70	652	
RNA15	27	65	
DST1	70	637	
YGL042C	20	354	
YGL041C-B	23	585	
YGL041W-A	32	747	
YGL041C	11	98	
HEM2	23	44	
YGL039W	26	185	
OCH1	43	204	
PNC1	11	75	
YGL036W	90	866	
MIG1	51	1168	
YGL034C	33	219	
HOP2	30	139	
AGA2	5	20	
RPL24A	8	26	
RPL30	5	36	
CGR1	18	105	
SCW11	44	672	
CWH41	109	1213	
TRP5	75	695	
PGD1	48	485	
YGL024W	28	344	
PIB2	92	947	
STT3	80	769	
ALK1	109	1511	
GET1	4	7	
CKB1	29	143	
JAC1	23	98	
ATE1	65	586	
KAP122	114	1225	
YGL015C	31	594	
PUF4	118	1690	
YGL014C-A	10	65	
PDR1	161	1995	
ERG4	46	305	
SCL1	28	116	
MPO1	61	989	
LEU1	185	3186	
PMA1	34	211	
YGL007C-A	7	41	
BRP1	61	1557	
YGL006W-A	21	323	
PMC1	160	2089	
COG7	48	357	
RPN14	111	2003	
CDH1	103	1044	
ERP6	78	1106	
ERG26	37	128	
EFM5	47	419	
SWC4	82	1288	
CUL3	109	1203	
PEX31	47	239	
TFG2	34	171	
PRP18	60	1605	
ECT1	92	1166	
STF2	29	476	
SEC9	35	93	
NMA2	88	1134	
YGR011W	19	302	
MCY1	67	691	
SNU71	79	446	
MSB2	102	1243	
EAT1	106	2343	
YGR016W	37	404	
YGR017W	73	809	
YGR018C	31	154	
UGA1	108	1861	
VMA7	13	19	
YGR021W	65	953	
YGR022C	11	31	
MTL1	51	495	
THG1	7	23	
YGR025W	44	1310	
YGR026W	45	436	
RPS25A	13	48	
MSP1	71	1005	
ERV1	20	96	
POP6	8	16	
IMO32	107	2284	
NAG1	47	833	
GSC2	331	5464	
TIM21	41	643	
RPL26B	17	40	
YGR035C	14	32	
YGR035W-A	21	141	
CAX4	35	314	
ACB1	16	18	
ORM1	38	334	
YGR039W	17	97	
KSS1	78	1068	
BUD9	69	1028	
YGR042W	89	957	
NQM1	68	832	
RME1	37	281	
YGR045C	52	1238	
TAM41	18	132	
TFC4	61	362	
UFD1	28	104	
SCM4	44	1228	
YGR050C	30	385	
YGR051C	37	627	
FMP48	62	909	
YGR053C	38	530	
