Gene name	Number of transposons per gene	Number of reads per gene
GNA1	25	480
SMX2	2	1
FRS2	79	1674
EPL1	92	1748
CAK1	26	487
MOB2	24	178
TUB2	78	1850
YPT1	28	545
ACT1	58	1290
SEC53	9	21
NIC96	63	1012
YPI1	21	309
RPN11	9	59
SAD1	46	438
ECO1	28	362
CDC14	58	677
PTR3	101	1798
SMC2	113	2063
RSC8	71	1023
KEG1	18	112
PRE4	58	1226
RET2	133	3061
RPN12	19	229
ERG26	36	336
PMA1	59	823
SCL1	31	239
PUF4	120	2196
JAC1	34	596
STT3	164	3632
RPL30	12	150
HEM2	32	292
RNA15	19	322
ALG13	4	17
RPT6	18	146
OLE1	39	849
DUO1	26	437
ALG2	38	445
MNP1	15	147
YGL069C	15	147
HSF1	94	1539
YGL074C	12	180
MPS2	34	558
NBP35	40	849
NUP145	70	1544
SPC105	70	1115
SRM1	83	1160
USE1	7	17
LSG1	34	206
YGL102C	19	334
RPL28	28	493
NSA1	42	454
TAF6	4	3
SLD3	66	1065
CDC20	78	1402
PRP43	103	1891
NAB2	64	979
RPS2	9	18
CWC23	3	2
CEG1	16	37
SEC27	70	1295
GPI10	64	1232
TIP20	67	1074
INO80	187	4247
CDC43	49	945
CUP2	42	1004
SUA5	48	983
ROK1	53	764
NUP49	47	487
ATG1	77	897
MCM6	180	3797
SPT16	81	1684
VRG4	42	485
SEC15	65	630
CSE1	97	1609
YGL239C	5	65
GUS1	52	1445
BRR6	11	154
SWC4	29	220
TFG2	22	128
SEC9	41	428
SNU71	66	522
THG1	8	187
ERV1	17	240
POP6	12	85
TAM41	11	99
TFC4	85	1401
UFD1	37	915
ERG25	43	666
VHT1	79	1187
YGR073C	3	2
SMD1	0	0
PRP38	3	2
TOM20	19	484
GCD2	60	1063
UTP22	54	688
PRP31	41	650
VAS1	139	3328
RRP46	28	233
ESP1	82	990
TEL2	51	1377
NOP7	40	528
DAM1	30	430
YGR114C	1	0
YGR115C	14	105
SPT6	136	2707
NUP57	57	973
COG2	8	32
UTP8	26	188
CBF2	79	2204
ENP2	61	1053
NAT2	30	380
PTI1	16	141
MTR3	26	461
YIP1	20	172
ERG1	37	362
OKP1	45	889
TYS1	40	619
TFG1	61	805
YGR190C	6	16
HIP1	54	1417
SKI6	20	240
YPP1	36	872
ZPR1	65	1301
GPI1	39	698
CRM1	70	1322
LSC2	95	1778
SDA1	108	1730
BRF1	67	1187
NOP19	29	422
PUP2	35	820
MES1	77	1513
YGR265W	28	344
FOL2	27	333
TAF1	81	1126
CAB4	23	75
CWC22	52	574
PXR1	22	175
PAU12	12	158
RPS20	0	0
ARN2	57	871
TIM10	13	117
ERG11	43	678
SPO13	13	72
DED81	72	1841
YHR020W	74	1461
MYO1	163	2723
MAS2	31	423
BRL1	54	726
BCD1	73	1456
NCP1	94	1209
CPR2	56	1294
MED6	32	567
RPP1	18	183
RRP3	65	1122
DYS1	90	1993
RRP4	23	251
TRM5	57	1063
ERG7	69	885
NOP10	1	0
QNS1	88	1483
KSP1	100	1584
SAM35	43	764
STE12	92	1633
IPI1	12	55
