Gene name	Number of transposons per gene	Number of reads per gene
NIC96	63	453
YPI1	14	88
RPN11	6	32
SAD1	15	74
ECO1	10	48
CDC14	29	240
PTR3	44	263
SMC2	40	220
RSC8	21	157
KEG1	3	14
PRE4	23	134
RET2	94	1337
RPN12	13	35
ERG26	18	60
PMA1	17	73
SCL1	18	173
PUF4	86	1004
JAC1	15	49
STT3	65	586
RPL30	3	2
HEM2	9	26
RNA15	7	17
ALG13	6	12
RPT6	9	28
OLE1	18	56
DUO1	23	206
ALG2	13	69
MNP1	6	23
YGL069C	6	23
HSF1	87	902
YGL074C	24	287
MPS2	24	336
NBP35	15	87
NUP145	39	329
SPC105	37	217
SRM1	26	205
USE1	7	7
LSG1	13	18
YGL102C	11	83
RPL28	17	100
NSA1	11	55
TAF6	1	0
SLD3	34	416
CDC20	28	147
PRP43	42	261
NAB2	24	114
RPS2	0	0
CWC23	2	1
CEG1	6	6
SEC27	39	169
GPI10	25	224
TIP20	39	166
INO80	102	1205
CDC43	22	132
CUP2	33	560
SUA5	18	82
ROK1	22	90
NUP49	9	93
ATG1	61	415
MCM6	72	400
SPT16	36	232
VRG4	13	52
SEC15	24	157
CSE1	36	281
YGL239C	10	93
GUS1	19	135
BRR6	5	12
SWC4	59	592
TFG2	18	58
SEC9	17	41
SNU71	73	611
THG1	7	30
ERV1	10	30
POP6	7	11
TAM41	13	42
TFC4	31	167
UFD1	20	235
ERG25	18	122
VHT1	26	204
YGR073C	8	20
SMD1	1	0
PRP38	1	0
TOM20	18	86
GCD2	20	83
UTP22	13	66
PRP31	25	301
VAS1	53	395
RRP46	5	14
ESP1	26	98
TEL2	21	115
NOP7	10	29
DAM1	14	53
YGR114C	11	46
YGR115C	8	20
SPT6	51	311
NUP57	22	139
COG2	9	28
UTP8	8	41
CBF2	38	292
ENP2	41	437
NAT2	12	106
PTI1	11	63
MTR3	12	16
YIP1	4	4
ERG1	8	44
OKP1	20	108
TYS1	16	48
TFG1	17	71
YGR190C	15	79
HIP1	40	316
SKI6	9	28
YPP1	27	138
ZPR1	34	155
GPI1	17	119
CRM1	33	243
LSC2	59	470
SDA1	44	288
BRF1	24	105
NOP19	10	41
PUP2	12	113
MES1	24	204
YGR265W	27	340
FOL2	18	64
TAF1	33	124
CAB4	4	4
CWC22	23	267
PXR1	13	26
PAU12	16	73
RPS20	1	0
ARN2	69	396
TIM10	9	72
ERG11	16	119
SPO13	23	225
DED81	24	249
YHR020W	24	217
MYO1	51	273
MAS2	13	69
BRL1	22	76
BCD1	34	280
NCP1	45	317
CPR2	49	502
MED6	15	179
RPP1	6	24
RRP3	20	211
DYS1	22	256
RRP4	18	61
TRM5	20	227
ERG7	26	183
NOP10	0	0
QNS1	32	230
KSP1	83	469
SAM35	13	63
STE12	65	785
IPI1	5	8
NAM8	70	998
RPF1	3	2
SFB3	74	565
BIG1	7	15
CDC12	5	17
ORC6	14	54
YHR122W	20	140
RPC10	0	0
IMP3	20	153
DNA2	32	145
CDC23	40	693
NMD3	22	133
SPC97	35	266
KOG1	59	425
GPI16	26	177
ERG9	26	171
UTP9	37	305
RIX1	18	59
CFD1	26	296
BET1	5	4
FAF1	30	148
RPB3	29	155
TIM44	20	64
IRR1	38	270
ULP2	53	392
MET30	40	373
NEO1	31	117
MMF1	19	95
SNP1	27	134
ARC15	6	9
YRB2	27	70
SEC6	45	676
RPN2	57	442
THS1	33	215
CAB2	9	49
UTP25	47	332
SHQ1	21	83
MOB1	16	54
SEC24	51	393
NUP159	66	488
RHO3	13	77
STH1	43	191
TAO3	119	1049
CCT2	26	186
SSL2	46	572
NDC80	31	239
SLN1	44	485
MCM10	37	414
DJP1	62	862
PAN1	183	2343
PRI1	9	50
DSN1	36	251
STS1	15	73
SQT1	30	274
RPR2	7	9
SEC11	5	4
PRE3	6	35
OST1	11	55
CYR1	128	1360
CCT8	30	155
YJL009W	18	245
NOP9	22	120
RPC17	8	7
CCT3	13	50
YJL015C	35	968
MPS3	68	501
RRN7	31	216
RNR2	28	220
BET4	2	1
YJL032W	1	0
HCA4	19	45
KAR2	17	39
TAD2	8	12
NUP192	38	116
NSP1	12	15
MTR4	61	636
TIM54	20	137
NUP82	16	87
UTP18	26	125
PSF2	17	141
SMC3	38	288
NET1	80	526
ARP4	4	6
EXO70	28	212
YJL086C	27	169
TRL1	15	35
DPB11	33	229
GWT1	15	39
PHS1	15	77
PAM16	3	4
IME2	48	296
UTP10	59	412
CCT7	11	21
ASF1	19	138
MTC1	77	1445
GCD14	20	86
TIM17	8	57
SSY5	31	322
FAR1	114	1148
TPK1	43	568
ERG20	15	75
RFA3	2	1
KRE9	5	14
CDC6	10	30
YJL195C	3	2
YJL202C	13	141
PRP21	18	293
MPP10	33	212
MRX12	117	896
POL31	15	16
SUI2	14	81
YJR012C	56	966
GPI14	14	25
ILV3	27	156
ESS1	10	61
LSM8	2	4
YJR023C	2	2
URB2	25	117
NUP85	15	74
SSC1	5	8
TAH11	14	49
CDC8	7	21
CCT5	42	407
ARP3	27	148
YAE1	6	11
RFC2	14	60
NPA3	49	464
CDC11	22	168
FIP1	12	44
SFC1	44	371
NNF1	15	43
RPS5	1	0
YJR141W	5	11
AUR1	26	253
SFT1	20	149
PRP40	45	375
ARC19	3	2
URB1	58	338
