Gene name	Number of transposons per gene	Number of reads per gene
YPI1	4	5
RPN11	3	2
SAD1	16	16
ECO1	6	6
CDC14	17	21
PTR3	29	39
SMC2	25	26
RSC8	21	22
KEG1	4	4
PRE4	9	10
RET2	47	145
RPN12	3	2
ERG26	9	8
PMA1	14	18
SCL1	11	10
PUF4	32	40
JAC1	9	8
STT3	48	64
RPL30	2	1
HEM2	4	3
RNA15	7	6
ALG13	0	0
RPT6	2	1
OLE1	11	11
DUO1	7	8
ALG2	12	12
MNP1	3	2
YGL069C	3	2
HSF1	32	44
YGL074C	3	17
MPS2	7	16
NBP35	9	12
NUP145	13	13
SPC105	20	26
SRM1	20	23
USE1	1	0
LSG1	8	9
YGL102C	6	6
RPL28	7	7
NSA1	11	11
TAF6	1	0
SLD3	21	33
CDC20	17	22
PRP43	25	27
NAB2	21	23
RPS2	2	1
CWC23	2	1
CEG1	3	3
SEC27	15	17
GPI10	19	21
TIP20	14	18
INO80	40	48
CDC43	9	10
CUP2	9	9
SUA5	15	14
ROK1	9	8
NUP49	14	14
ATG1	18	28
MCM6	48	57
SPT16	21	24
VRG4	8	9
SEC15	17	19
CSE1	20	23
YGL239C	2	1
GUS1	9	15
BRR6	0	0
SWC4	7	20
TFG2	5	9
SEC9	14	16
SNU71	20	20
THG1	4	4
ERV1	3	2
POP6	1	0
TAM41	3	4
TFC4	16	18
UFD1	13	14
ERG25	16	19
VHT1	17	18
YGR073C	0	0
SMD1	0	0
PRP38	1	0
TOM20	3	3
GCD2	16	19
UTP22	9	8
PRP31	12	14
VAS1	32	38
RRP46	14	16
ESP1	19	23
TEL2	9	14
NOP7	10	11
DAM1	8	9
YGR114C	1	0
YGR115C	1	0
SPT6	40	48
NUP57	16	16
COG2	1	0
UTP8	6	5
CBF2	18	22
ENP2	13	27
NAT2	11	26
PTI1	1	0
MTR3	7	6
YIP1	5	6
ERG1	4	4
OKP1	11	12
TYS1	11	13
TFG1	15	15
YGR190C	1	0
HIP1	12	17
SKI6	5	6
YPP1	9	9
ZPR1	13	16
GPI1	12	13
CRM1	15	23
LSC2	31	50
SDA1	28	34
BRF1	17	18
NOP19	9	10
PUP2	7	6
MES1	24	29
YGR265W	13	16
FOL2	9	8
TAF1	19	22
CAB4	6	5
CWC22	7	8
PXR1	3	3
PAU12	5	6
RPS20	0	0
ARN2	22	26
TIM10	5	4
ERG11	13	15
SPO13	4	4
DED81	20	22
YHR020W	15	18
MYO1	35	50
MAS2	7	8
BRL1	13	15
BCD1	22	24
NCP1	41	192
CPR2	16	21
MED6	10	21
RPP1	8	7
RRP3	15	18
DYS1	20	24
RRP4	5	7
TRM5	11	14
ERG7	17	18
NOP10	1	0
QNS1	23	24
KSP1	21	56
SAM35	14	18
STE12	26	38
IPI1	2	1
NAM8	13	18
RPF1	1	0
SFB3	18	23
BIG1	4	3
CDC12	5	4
ORC6	17	20
YHR122W	8	8
RPC10	0	0
IMP3	13	17
DNA2	23	26
CDC23	18	21
NMD3	12	14
SPC97	21	32
KOG1	46	56
GPI16	22	24
ERG9	10	11
UTP9	16	16
RIX1	8	8
CFD1	13	17
BET1	4	3
FAF1	11	10
RPB3	17	20
TIM44	12	11
IRR1	25	34
ULP2	35	78
MET30	29	35
NEO1	16	18
MMF1	0	0
SNP1	4	3
ARC15	4	3
YRB2	21	62
SEC6	15	20
RPN2	40	81
THS1	19	22
CAB2	1	0
UTP25	28	35
SHQ1	13	13
MOB1	3	2
SEC24	28	34
NUP159	39	51
RHO3	11	11
STH1	25	28
TAO3	66	77
CCT2	18	23
SSL2	29	69
NDC80	20	24
SLN1	30	64
MCM10	22	38
DJP1	12	25
PAN1	56	274
PRI1	9	10
DSN1	11	11
STS1	4	3
SQT1	13	14
RPR2	1	0
SEC11	2	1
PRE3	4	3
OST1	8	8
CYR1	79	159
CCT8	15	17
YJL009W	5	5
NOP9	10	19
RPC17	1	0
CCT3	11	12
YJL015C	13	52
MPS3	27	70
RRN7	15	16
RNR2	26	39
BET4	0	0
YJL032W	0	0
HCA4	17	17
KAR2	10	11
TAD2	3	2
NUP192	36	46
NSP1	5	4
MTR4	42	50
TIM54	17	19
NUP82	5	4
UTP18	18	20
PSF2	10	11
SMC3	12	13
NET1	37	46
ARP4	6	5
EXO70	16	16
YJL086C	5	10
TRL1	9	9
DPB11	13	14
GWT1	7	7
PHS1	5	4
PAM16	4	4
IME2	19	24
UTP10	35	44
CCT7	6	7
ASF1	10	9
MTC1	10	10
GCD14	19	24
TIM17	5	5
SSY5	18	21
FAR1	30	56
TPK1	15	18
ERG20	8	9
RFA3	1	0
KRE9	4	3
CDC6	8	8
YJL195C	2	2
YJL202C	4	3
PRP21	7	9
MPP10	10	9
MRX12	28	92
POL31	4	3
SUI2	4	3
YJR012C	10	11
GPI14	8	8
ILV3	10	15
ESS1	7	9
