Gene name	Number of transposons per gene	Number of reads per gene
NIC96	59	745
YPI1	11	36
RPN11	8	10
SAD1	15	84
ECO1	5	5
CDC14	21	260
PTR3	27	253
SMC2	48	280
RSC8	25	144
KEG1	5	41
PRE4	24	138
RET2	76	1335
RPN12	16	52
ERG26	10	68
PMA1	16	105
SCL1	9	57
PUF4	73	919
JAC1	9	60
STT3	44	421
RPL30	1	0
HEM2	12	31
RNA15	12	25
ALG13	6	16
RPT6	8	26
OLE1	14	45
DUO1	16	109
ALG2	16	41
MNP1	8	13
YGL069C	7	12
HSF1	72	664
YGL074C	11	173
MPS2	25	131
NBP35	15	114
NUP145	34	383
SPC105	28	168
SRM1	30	212
USE1	3	3
LSG1	16	26
YGL102C	7	49
RPL28	13	66
NSA1	14	100
TAF6	0	0
SLD3	31	464
CDC20	27	114
PRP43	37	243
NAB2	21	150
RPS2	2	1
CWC23	4	4
CEG1	4	4
SEC27	31	164
GPI10	16	146
TIP20	31	161
INO80	70	945
CDC43	15	73
CUP2	33	696
SUA5	18	121
ROK1	17	81
NUP49	18	143
ATG1	69	675
MCM6	60	372
SPT16	28	150
VRG4	10	43
SEC15	23	68
CSE1	31	125
YGL239C	8	25
GUS1	17	83
BRR6	6	6
SWC4	45	436
TFG2	14	33
SEC9	9	31
SNU71	57	358
THG1	5	29
ERV1	6	28
POP6	4	4
TAM41	21	77
TFC4	32	150
UFD1	20	67
ERG25	10	73
VHT1	26	191
YGR073C	3	2
SMD1	1	0
PRP38	6	6
TOM20	11	90
GCD2	13	45
UTP22	17	68
PRP31	25	220
VAS1	51	454
RRP46	4	3
ESP1	23	138
TEL2	18	100
NOP7	13	49
DAM1	18	116
YGR114C	10	96
YGR115C	6	15
SPT6	40	174
NUP57	20	124
COG2	2	19
UTP8	12	22
CBF2	33	289
ENP2	40	345
NAT2	17	169
PTI1	15	49
MTR3	13	25
YIP1	4	26
ERG1	10	76
OKP1	24	159
TYS1	14	103
TFG1	16	151
YGR190C	5	40
HIP1	18	233
SKI6	7	38
YPP1	19	66
ZPR1	18	99
GPI1	15	49
CRM1	29	117
LSC2	63	513
SDA1	40	254
BRF1	16	92
NOP19	15	81
PUP2	13	124
MES1	30	183
YGR265W	20	167
FOL2	12	77
TAF1	30	178
CAB4	5	7
CWC22	26	175
PXR1	8	28
PAU12	20	98
RPS20	0	0
ARN2	64	730
TIM10	13	69
ERG11	13	52
SPO13	23	115
DED81	14	184
YHR020W	20	213
MYO1	66	390
MAS2	6	38
BRL1	18	153
BCD1	39	362
NCP1	41	167
CPR2	41	509
MED6	18	196
RPP1	6	25
RRP3	23	159
DYS1	37	390
RRP4	10	29
TRM5	21	306
ERG7	21	109
NOP10	0	0
QNS1	23	180
KSP1	62	790
SAM35	13	102
STE12	48	367
IPI1	5	4
NAM8	85	1163
RPF1	7	6
SFB3	71	542
BIG1	3	2
CDC12	2	3
ORC6	18	83
YHR122W	16	75
RPC10	0	0
IMP3	17	180
DNA2	40	336
CDC23	30	362
NMD3	18	67
SPC97	33	527
KOG1	46	384
GPI16	28	305
ERG9	22	167
UTP9	37	215
RIX1	15	119
CFD1	24	394
BET1	13	13
FAF1	14	148
RPB3	16	63
TIM44	12	33
IRR1	39	143
ULP2	62	596
MET30	32	387
NEO1	29	172
MMF1	14	74
SNP1	16	33
ARC15	4	6
YRB2	25	216
SEC6	32	289
RPN2	50	611
THS1	22	82
CAB2	11	44
UTP25	43	240
SHQ1	22	110
MOB1	14	60
SEC24	55	601
NUP159	64	644
RHO3	14	83
STH1	32	165
TAO3	97	900
CCT2	24	162
SSL2	56	738
NDC80	21	172
SLN1	29	332
MCM10	36	416
DJP1	58	599
PAN1	176	2684
PRI1	10	42
DSN1	27	169
STS1	15	79
SQT1	28	348
RPR2	4	4
SEC11	8	13
PRE3	6	29
OST1	9	86
CYR1	100	1021
CCT8	22	187
YJL009W	13	123
NOP9	32	148
RPC17	6	20
CCT3	11	23
YJL015C	52	1269
MPS3	84	1126
RRN7	28	125
RNR2	19	176
BET4	2	3
YJL032W	0	0
HCA4	18	62
KAR2	14	38
TAD2	9	14
NUP192	25	110
NSP1	7	42
MTR4	39	415
TIM54	21	155
NUP82	10	28
UTP18	17	57
PSF2	16	102
SMC3	31	262
