Gene name	Number of transposons per gene	Number of reads per gene
ACT1	44	471
SEC53	3	2
NIC96	115	2868
YPI1	28	102
RPN11	26	54
SAD1	38	232
ECO1	30	69
CDC14	47	544
PTR3	83	723
SMC2	73	618
RSC8	35	291
KEG1	5	15
PRE4	38	239
RET2	119	4557
RPN12	20	51
ERG26	42	220
PMA1	28	251
SCL1	18	112
PUF4	128	2382
JAC1	17	134
STT3	86	1148
RPL30	9	18
HEM2	18	36
RNA15	19	126
ALG13	18	21
RPT6	14	31
OLE1	27	122
DUO1	39	219
ALG2	26	131
MNP1	11	32
YGL069C	10	31
HSF1	155	3640
YGL074C	29	422
MPS2	42	414
NBP35	26	345
NUP145	72	1264
SPC105	57	957
SRM1	52	408
USE1	12	11
LSG1	18	35
YGL102C	9	69
RPL28	18	180
NSA1	27	120
TAF6	1	0
SLD3	51	554
CDC20	41	410
PRP43	73	823
NAB2	42	256
RPS2	5	5
CWC23	7	26
CEG1	18	35
SEC27	56	374
GPI10	40	381
TIP20	54	519
INO80	122	1875
CDC43	39	278
CUP2	65	920
SUA5	39	209
ROK1	29	161
NUP49	39	279
ATG1	88	896
MCM6	106	1141
SPT16	54	541
VRG4	21	156
SEC15	44	240
CSE1	59	359
YGL239C	10	254
GUS1	33	322
BRR6	12	73
SWC4	86	1290
TFG2	31	155
SEC9	30	154
SNU71	72	697
THG1	13	116
ERV1	20	64
POP6	8	10
TAM41	17	86
TFC4	69	474
UFD1	36	245
ERG25	24	211
VHT1	58	549
YGR073C	7	24
SMD1	2	1
PRP38	2	1
TOM20	24	191
GCD2	31	221
UTP22	24	90
PRP31	48	623
VAS1	105	986
RRP46	12	82
ESP1	55	283
TEL2	35	314
NOP7	25	126
DAM1	24	159
YGR114C	13	142
YGR115C	11	29
SPT6	61	546
NUP57	45	277
COG2	8	77
UTP8	18	95
CBF2	54	974
ENP2	73	597
NAT2	23	243
PTI1	14	105
MTR3	23	257
YIP1	16	85
ERG1	26	121
OKP1	37	184
TYS1	27	159
TFG1	41	497
YGR190C	6	34
HIP1	50	516
SKI6	21	116
YPP1	40	280
ZPR1	37	210
GPI1	19	112
CRM1	52	380
LSC2	92	1531
SDA1	75	801
BRF1	44	686
NOP19	23	170
PUP2	22	157
MES1	52	514
YGR265W	35	517
FOL2	29	133
TAF1	75	735
CAB4	13	15
CWC22	43	641
PXR1	22	207
PAU12	23	203
RPS20	1	0
ARN2	83	1687
TIM10	18	194
ERG11	31	185
SPO13	32	539
DED81	42	514
YHR020W	40	369
MYO1	106	862
MAS2	23	155
BRL1	44	523
BCD1	58	656
NCP1	40	530
CPR2	56	934
MED6	35	433
RPP1	13	74
RRP3	39	447
DYS1	43	482
RRP4	26	141
TRM5	47	515
ERG7	43	349
NOP10	0	0
QNS1	43	470
KSP1	128	1922
SAM35	28	211
STE12	82	1438
IPI1	14	25
NAM8	99	2040
RPF1	15	33
SFB3	136	1795
BIG1	11	30
CDC12	14	45
ORC6	24	95
YHR122W	27	188
RPC10	0	0
IMP3	32	238
DNA2	81	833
CDC23	74	1075
NMD3	50	393
SPC97	56	869
KOG1	115	1278
GPI16	61	717
ERG9	38	431
UTP9	59	767
RIX1	32	304
CFD1	45	691
BET1	21	29
FAF1	50	349
RPB3	36	414
TIM44	21	145
IRR1	81	789
ULP2	96	1134
MET30	73	794
NEO1	46	296
MMF1	17	190
SNP1	28	163
ARC15	6	25
YRB2	16	87
SEC6	51	403
RPN2	105	1393
THS1	54	622
CAB2	21	227
UTP25	83	605
SHQ1	40	248
MOB1	17	63
SEC24	101	1435
NUP159	108	1443
RHO3	29	153
STH1	56	497
TAO3	192	2851
CCT2	55	290
SSL2	79	1124
NDC80	45	458
SLN1	61	727
MCM10	58	716
DJP1	84	1739
PAN1	182	4313
PRI1	17	68
DSN1	39	260
STS1	27	56
SQT1	62	469
RPR2	17	71
SEC11	13	76
PRE3	25	85
OST1	19	239
CYR1	162	1674
CCT8	42	468
YJL009W	22	306
NOP9	55	443
RPC17	18	59
CCT3	15	184
YJL015C	51	2222
MPS3	98	2284
RRN7	34	193
RNR2	40	480
BET4	10	9
YJL032W	2	1
HCA4	67	282
KAR2	31	240
TAD2	28	77
NUP192	84	443
NSP1	10	52
MTR4	108	980
TIM54	34	384
NUP82	41	469
UTP18	40	357
PSF2	28	162
SMC3	44	507
NET1	112	1362
ARP4	15	48
EXO70	50	585
YJL086C	31	499
TRL1	39	142
DPB11	34	307
GWT1	27	175
PHS1	31	122
PAM16	7	8
IME2	69	831
UTP10	116	953
CCT7	23	111
ASF1	16	113
MTC1	60	547
GCD14	34	192
TIM17	21	207
SSY5	65	673
FAR1	121	1904
TPK1	47	666
ERG20	36	322
RFA3	9	9
KRE9	12	25
CDC6	21	158
YJL195C	15	19
YJL202C	16	297
PRP21	27	403
MPP10	55	696
MRX12	177	3722
POL31	24	30
SUI2	28	120
YJR012C	69	1301
GPI14	33	95
ILV3	77	938
ESS1	19	107
LSM8	7	12
YJR023C	6	10
URB2	65	345
NUP85	45	358
SSC1	4	11
TAH11	41	143
CDC8	15	53
CCT5	61	798
ARP3	42	224
YAE1	14	22
RFC2	35	152
NPA3	67	1093
CDC11	49	323
FIP1	20	152
SFC1	64	1235
NNF1	34	89
RPS5	2	1
YJR141W	9	15
AUR1	45	490
SFT1	31	615
PRP40	64	737
ARC19	10	9
URB1	119	987
SWD2	21	129
RAM2	25	308
MAK11	36	1057
CDC16	87	1525
URA6	20	170
TFA1	36	304
TTI1	73	906
UGP1	35	180
YKL036C	50	1536
SPC42	27	158
PRI2	46	766
CSE4	12	16
ASK1	81	1946
TOA2	20	29
MPE1	45	414
FBA1	14	25
DHR2	22	241
RRP14	19	163
YKL083W	7	12
CAB3	40	284
MIF2	16	34
YJU2	31	403
UTP11	31	180
HSL1	83	985
GFA1	38	216
SLD2	35	260
YKL111C	15	118
ABF1	49	250
SRP21	15	291
RRN3	33	136
HSK3	13	35
SDH3	5	8
RPC25	14	29
RPT1	15	41
GPM1	17	89
YKL153W	14	47
SRP102	34	125
MCD4	84	684
TPK3	40	607
EBP2	29	138
SNU114	51	483
RPL17A	2	4
FAS1	86	1018
MTR2	16	117
HYM1	32	593
ACP1	10	90
SDS22	15	152
MIA40	17	216
YKT6	25	58
TOR2	185	1877
LOS1	94	972
UBA1	30	289
PAP1	25	180
ECM9	43	273
RSC4	41	290
NTR2	14	51
RPC37	26	276
SPC34	26	314
KAE1	39	340
RPS21A	18	176
TFA2	3	2
LAS1	25	210
BET3	23	299
DRE2	40	226
TRZ1	56	534
RPF2	18	166
DAD2	11	39
PRP16	78	663
SFI1	60	1084
ORC3	50	314
DRS1	64	529
SOF1	57	429
DPS1	43	288
