Gene name	Number of transposons per gene	Number of reads per gene
NIC96	37	275
YPI1	9	36
RPN11	18	119
SAD1	23	162
ECO1	21	93
CDC14	43	266
PTR3	52	492
SMC2	64	644
RSC8	28	163
KEG1	12	56
PRE4	39	302
RET2	107	1188
RPN12	31	170
ERG26	30	106
PMA1	37	256
SCL1	23	152
PUF4	68	659
JAC1	17	82
STT3	72	889
RPL30	4	23
HEM2	11	28
RNA15	15	49
ALG13	9	8
RPT6	8	19
OLE1	16	79
DUO1	14	87
ALG2	27	106
MNP1	5	7
YGL069C	5	7
HSF1	60	548
YGL074C	17	171
MPS2	25	227
NBP35	28	348
NUP145	45	564
SPC105	34	238
SRM1	31	250
USE1	3	2
LSG1	16	53
YGL102C	12	44
RPL28	19	105
NSA1	20	93
TAF6	0	0
SLD3	53	585
CDC20	37	294
PRP43	53	492
NAB2	33	280
RPS2	2	1
CWC23	0	0
CEG1	5	8
SEC27	44	246
GPI10	27	312
TIP20	37	205
INO80	116	1383
CDC43	23	213
CUP2	32	379
SUA5	26	135
ROK1	24	101
NUP49	21	182
ATG1	42	189
MCM6	97	604
SPT16	42	304
VRG4	17	96
SEC15	39	222
CSE1	46	354
YGL239C	3	3
GUS1	30	179
BRR6	8	23
SWC4	43	245
TFG2	18	37
SEC9	23	92
SNU71	46	214
THG1	8	120
ERV1	11	73
POP6	6	7
TAM41	9	13
TFC4	55	310
UFD1	14	123
ERG25	20	193
VHT1	47	467
YGR073C	0	0
SMD1	0	0
PRP38	2	1
TOM20	8	35
GCD2	19	90
UTP22	22	119
PRP31	22	237
VAS1	81	850
RRP46	6	26
ESP1	43	209
TEL2	28	157
NOP7	17	135
DAM1	13	51
YGR114C	2	2
YGR115C	10	17
SPT6	66	475
NUP57	25	161
COG2	3	4
UTP8	12	82
CBF2	42	536
ENP2	39	408
NAT2	12	51
PTI1	11	39
MTR3	9	56
YIP1	13	56
ERG1	26	75
OKP1	30	154
TYS1	20	185
TFG1	30	141
YGR190C	3	4
HIP1	40	251
SKI6	14	43
YPP1	26	163
ZPR1	37	236
GPI1	13	64
CRM1	48	550
LSC2	52	561
SDA1	60	530
BRF1	42	448
NOP19	11	63
PUP2	32	237
MES1	56	451
YGR265W	19	188
FOL2	19	139
TAF1	50	309
CAB4	4	5
CWC22	21	164
PXR1	15	32
PAU12	5	36
RPS20	1	0
ARN2	32	207
TIM10	8	72
ERG11	21	145
SPO13	18	49
DED81	44	411
YHR020W	41	276
MYO1	65	324
MAS2	16	73
BRL1	24	98
BCD1	50	443
NCP1	103	1549
CPR2	32	381
MED6	15	160
RPP1	17	167
RRP3	31	270
DYS1	42	542
RRP4	16	44
TRM5	33	275
ERG7	38	222
NOP10	0	0
QNS1	53	488
KSP1	88	795
SAM35	31	310
STE12	60	706
IPI1	7	18
NAM8	52	618
RPF1	9	9
SFB3	59	538
BIG1	11	31
CDC12	7	35
ORC6	25	84
YHR122W	24	179
RPC10	0	0
IMP3	31	341
DNA2	56	529
CDC23	53	550
NMD3	20	142
SPC97	37	227
KOG1	97	1164
GPI16	45	343
ERG9	31	371
UTP9	47	380
RIX1	27	209
CFD1	35	299
BET1	10	13
FAF1	26	144
RPB3	30	186
TIM44	19	114
IRR1	53	324
ULP2	62	552
MET30	54	550
NEO1	34	191
MMF1	2	1
SNP1	10	35
ARC15	5	33
YRB2	32	91
SEC6	42	312
RPN2	107	1693
THS1	38	397
CAB2	15	185
UTP25	51	388
SHQ1	38	207
MOB1	7	9
SEC24	78	808
NUP159	93	958
RHO3	19	101
STH1	29	169
TAO3	132	1287
CCT2	35	296
SSL2	67	908
NDC80	34	250
SLN1	56	638
MCM10	43	578
DJP1	40	254
PAN1	134	934
PRI1	10	56
DSN1	24	120
STS1	16	98
SQT1	40	477
RPR2	7	21
SEC11	11	75
PRE3	22	127
OST1	19	206
CYR1	197	3664
CCT8	38	446
YJL009W	14	182
NOP9	31	152
RPC17	9	19
CCT3	13	101
YJL015C	27	282
MPS3	59	244
RRN7	30	171
RNR2	41	450
BET4	2	1
YJL032W	0	0
HCA4	34	143
KAR2	21	105
TAD2	9	73
NUP192	50	180
NSP1	6	13
MTR4	82	934
TIM54	32	233
NUP82	24	175
UTP18	45	393
PSF2	25	209
SMC3	39	284
NET1	61	541
ARP4	8	39
EXO70	35	364
YJL086C	10	51
TRL1	26	147
DPB11	36	173
GWT1	23	148
PHS1	24	156
PAM16	7	8
IME2	33	287
UTP10	90	838
CCT7	25	96
ASF1	18	86
MTC1	35	193
GCD14	27	238
TIM17	14	132
SSY5	43	484
FAR1	73	837
TPK1	47	350
ERG20	34	339
RFA3	0	0
KRE9	15	84
CDC6	11	85
YJL195C	3	2
YJL202C	12	125
PRP21	19	243
MPP10	35	103
MRX12	73	449
POL31	5	4
SUI2	16	67
YJR012C	43	355
GPI14	20	49
ILV3	27	303
ESS1	9	72
LSM8	4	5
YJR023C	5	6
URB2	41	326
NUP85	26	117
SSC1	3	3
TAH11	29	199
CDC8	8	16
CCT5	55	580
ARP3	38	273
YAE1	6	10
RFC2	25	100
NPA3	29	203
CDC11	31	192
FIP1	10	88
SFC1	27	184
NNF1	14	87
RPS5	0	0
YJR141W	14	41
AUR1	35	483
SFT1	10	56
PRP40	37	183
ARC19	3	2
URB1	76	722
SWD2	18	43
RAM2	29	257
MAK11	18	78
CDC16	46	434
URA6	13	86
TFA1	47	869
TTI1	65	538
UGP1	30	183
YKL036C	18	100
SPC42	20	156
PRI2	21	262
CSE4	9	43
ASK1	42	478
TOA2	5	4
MPE1	23	129
FBA1	12	70
DHR2	24	281
RRP14	15	65
YKL083W	1	0
CAB3	37	340
MIF2	6	24
YJU2	12	91
UTP11	11	107
HSL1	54	319
GFA1	24	272
SLD2	31	167
YKL111C	7	37
ABF1	40	199
SRP21	3	2
RRN3	20	68
HSK3	12	135
SDH3	1	0
RPC25	8	51
RPT1	11	51
GPM1	12	73
YKL153W	11	62
SRP102	27	120
MCD4	56	463
TPK3	35	456
EBP2	7	8
SNU114	33	436
RPL17A	2	3
FAS1	81	734
MTR2	12	60
HYM1	20	98
ACP1	7	64
SDS22	15	63
MIA40	6	5
YKT6	16	63
TOR2	178	1643
LOS1	42	265
UBA1	28	167
PAP1	25	66
ECM9	24	72
RSC4	29	173
NTR2	7	16
RPC37	6	13
SPC34	20	92
KAE1	24	141
RPS21A	13	70
TFA2	1	0
LAS1	25	236
BET3	13	148
