Gene name	Number of transposons per gene	Number of reads per gene
SEC53	3	3
NIC96	79	887
YPI1	21	89
RPN11	19	44
SAD1	42	239
ECO1	22	83
CDC14	45	338
PTR3	77	615
SMC2	87	914
RSC8	44	240
KEG1	11	42
PRE4	56	508
RET2	115	1884
RPN12	33	85
ERG26	34	153
PMA1	48	290
SCL1	27	158
PUF4	82	854
JAC1	23	161
STT3	95	1190
RPL30	15	166
HEM2	25	62
RNA15	21	57
ALG13	10	36
RPT6	17	66
OLE1	26	107
DUO1	20	146
ALG2	34	132
MNP1	13	34
YGL069C	13	34
HSF1	106	944
YGL074C	18	193
MPS2	29	278
NBP35	32	391
NUP145	67	890
SPC105	51	390
SRM1	56	551
USE1	8	7
LSG1	20	63
YGL102C	18	73
RPL28	27	132
NSA1	34	156
TAF6	4	3
SLD3	66	695
CDC20	37	308
PRP43	93	834
NAB2	48	373
RPS2	6	5
CWC23	2	1
CEG1	14	18
SEC27	66	361
GPI10	48	435
TIP20	46	370
INO80	161	1853
CDC43	36	303
CUP2	34	691
SUA5	35	239
ROK1	30	170
NUP49	35	213
ATG1	62	413
MCM6	119	977
SPT16	38	292
VRG4	25	147
SEC15	51	345
CSE1	62	420
YGL239C	5	18
GUS1	38	237
BRR6	7	12
SWC4	85	958
TFG2	35	88
SEC9	32	141
SNU71	73	455
THG1	16	152
ERV1	19	68
POP6	8	9
TAM41	10	24
TFC4	51	334
UFD1	36	221
ERG25	28	337
VHT1	75	647
YGR073C	3	2
SMD1	2	1
PRP38	2	1
TOM20	13	106
GCD2	26	174
UTP22	30	113
PRP31	50	510
VAS1	96	1398
RRP46	9	32
ESP1	56	289
TEL2	33	258
NOP7	27	82
DAM1	15	90
YGR114C	6	32
YGR115C	14	20
SPT6	88	639
NUP57	35	198
COG2	7	12
UTP8	14	36
CBF2	71	782
ENP2	65	614
NAT2	13	103
PTI1	16	131
MTR3	17	85
YIP1	20	129
ERG1	30	141
OKP1	41	202
TYS1	30	256
TFG1	37	297
YGR190C	7	47
HIP1	48	408
SKI6	18	57
YPP1	31	263
ZPR1	35	281
GPI1	17	132
CRM1	57	539
LSC2	60	662
SDA1	77	485
BRF1	43	385
NOP19	19	49
PUP2	16	143
MES1	71	613
YGR265W	27	274
FOL2	22	183
TAF1	67	406
CAB4	13	38
CWC22	40	353
PXR1	20	79
PAU12	13	80
RPS20	0	0
ARN2	70	698
TIM10	17	81
ERG11	27	168
SPO13	31	171
DED81	60	671
YHR020W	57	583
MYO1	101	595
MAS2	21	68
BRL1	37	371
BCD1	70	659
NCP1	124	1815
CPR2	56	746
MED6	24	277
RPP1	20	117
RRP3	52	485
DYS1	51	640
RRP4	28	72
TRM5	37	413
ERG7	48	317
NOP10	0	0
QNS1	57	487
KSP1	90	931
SAM35	30	378
STE12	73	972
IPI1	8	12
NAM8	89	1028
RPF1	7	16
SFB3	105	921
BIG1	6	9
CDC12	13	57
ORC6	46	190
YHR122W	33	273
RPC10	0	0
IMP3	41	515
DNA2	73	775
CDC23	55	775
NMD3	39	151
SPC97	41	334
KOG1	104	1193
GPI16	53	730
ERG9	31	452
UTP9	52	384
RIX1	38	499
CFD1	29	304
BET1	14	18
FAF1	45	236
RPB3	44	425
TIM44	24	193
IRR1	89	693
ULP2	97	887
MET30	64	834
NEO1	44	186
MMF1	14	25
SNP1	18	84
ARC15	6	61
YRB2	34	270
SEC6	54	426
RPN2	118	3649
THS1	58	633
CAB2	15	98
UTP25	78	714
SHQ1	42	269
MOB1	13	23
SEC24	97	1457
NUP159	121	1285
RHO3	23	181
STH1	49	326
TAO3	162	1893
CCT2	47	477
SSL2	92	1764
NDC80	55	361
SLN1	72	742
MCM10	53	750
DJP1	65	717
PAN1	185	2256
PRI1	13	47
DSN1	36	217
STS1	34	138
SQT1	64	745
RPR2	9	37
SEC11	13	37
PRE3	23	76
OST1	21	197
CYR1	274	5847
CCT8	47	543
YJL009W	26	294
NOP9	48	227
RPC17	15	33
CCT3	14	100
YJL015C	49	956
MPS3	83	840
RRN7	41	297
RNR2	47	510
BET4	4	3
YJL032W	1	0
HCA4	50	119
KAR2	35	198
TAD2	20	106
NUP192	68	281
NSP1	13	33
MTR4	118	1626
TIM54	34	389
NUP82	33	433
UTP18	55	615
PSF2	37	323
SMC3	55	388
NET1	78	690
ARP4	14	36
EXO70	52	445
YJL086C	22	121
TRL1	25	95
DPB11	33	191
GWT1	31	82
PHS1	25	156
PAM16	10	44
IME2	59	624
UTP10	118	992
CCT7	26	111
ASF1	21	167
MTC1	78	573
GCD14	43	398
TIM17	27	162
SSY5	64	626
FAR1	100	1145
TPK1	48	383
ERG20	29	459
RFA3	0	0
KRE9	21	286
CDC6	22	171
YJL195C	10	13
YJL202C	22	459
PRP21	40	550
MPP10	40	335
MRX12	152	1219
POL31	15	17
SUI2	21	102
YJR012C	55	898
GPI14	30	83
ILV3	48	700
ESS1	10	128
LSM8	8	20
YJR023C	9	29
URB2	60	413
NUP85	43	163
SSC1	3	2
TAH11	32	204
CDC8	17	38
CCT5	76	893
ARP3	44	344
YAE1	12	20
RFC2	37	190
NPA3	60	484
CDC11	38	292
FIP1	16	156
SFC1	27	168
NNF1	13	87
RPS5	1	0
YJR141W	13	33
AUR1	55	454
SFT1	16	73
PRP40	41	185
ARC19	9	11
URB1	139	1073
SWD2	19	50
RAM2	47	376
MAK11	33	324
CDC16	85	1040
URA6	13	77
TFA1	79	1758
TTI1	84	881
UGP1	35	203
YKL036C	35	270
SPC42	17	157
PRI2	56	532
CSE4	17	45
ASK1	56	698
TOA2	4	5
MPE1	36	287
FBA1	13	53
DHR2	45	347
RRP14	16	72
YKL083W	4	5
CAB3	45	580
MIF2	15	22
YJU2	17	87
UTP11	27	225
HSL1	63	611
GFA1	41	368
SLD2	51	420
YKL111C	6	32
ABF1	40	234
SRP21	2	1
RRN3	42	96
HSK3	14	130
SDH3	4	5
RPC25	16	57
RPT1	15	75
GPM1	12	73
YKL153W	9	88
SRP102	21	100
MCD4	84	594
TPK3	71	1658
EBP2	10	15
SNU114	40	478
RPL17A	2	1
FAS1	117	963
MTR2	17	83
HYM1	27	261
ACP1	9	62
SDS22	18	101
MIA40	14	44
YKT6	19	78
TOR2	225	2247
LOS1	82	586
UBA1	36	266
PAP1	37	415
ECM9	60	311
RSC4	54	330
NTR2	14	41
RPC37	19	89
SPC34	29	191
KAE1	37	292
RPS21A	20	112
TFA2	6	25
LAS1	22	233
BET3	32	344
DRE2	34	212
TRZ1	60	308
RPF2	26	97
DAD2	6	6
PRP16	92	622
SFI1	51	400
ORC3	45	196
DRS1	60	381
SOF1	43	178
DPS1	44	342
GPI13	60	648
RIX7	66	427
GRC3	29	158
PRP19	8	38
YLL037W	8	16
COF1	15	89
NOC3	27	143
SSL1	98	6380
NSE1	48	567
PAM18	11	12
RLP24	6	7
TEN1	2	5
GAT3	9	33
SDO1	28	156
SED5	24	163
RPL15A	5	16
RSC58	18	37
STU2	72	515
FCF2	28	172
REX2	65	875
FRS1	51	541
SPC3	18	98
RGR1	116	1354
RPL10	7	57
YLR076C	4	3
BOS1	19	97
SMC4	86	614
GAA1	94	987
HRT3	31	184
MIM2	7	19
ERG27	35	187
YLR101C	12	32
CDC45	45	247
SEN2	19	138
MDN1	274	2362
CFT2	24	219
MSL5	30	139
CLF1	70	877
APC2	54	308
DIP2	37	197
USB1	18	25
YLR140W	15	80
RRN5	25	189
RMP1	7	12
SMD3	11	47
ACS2	64	615
MAS1	28	254
SEC10	37	157
RPS31	9	30
CBF5	36	364
EMG1	14	124
NMT1	8	7
PWP1	78	1073
NOP56	26	118
YLR198C	2	1
SEC13	39	565
TUB4	34	319
CDC123	28	272
CCC1	30	143
UTP13	47	293
IFH1	63	1074
CDC42	15	39
YLR230W	5	6
GPN3	13	55
YEF3	68	717
HSP60	22	136
YCS4	66	415
MCM5	49	270
SMD2	12	50
DBP9	3	2
YSH1	54	543
GCD7	23	118
YHC1	17	80
STT4	122	1330
CDC25	118	1414
CDC3	55	476
TAD3	32	200
YLR317W	13	69
SFH1	40	533
CWC24	35	366
RPS25B	10	19
SGD1	52	458
YLR339C	3	2
RPP0	5	5
RPL26A	10	14
KAP95	47	687
ILV5	26	190
ADE13	17	41
STP3	17	135
SEC61	49	470
YLR379W	7	16
AFG2	42	210
SFP1	100	1546
UTP21	66	411
SPP382	27	280
SEN1	120	955
LSM3	0	0
SEC39	17	41
NBP1	42	264
YLR458W	11	21
GAB1	5	5
SPT5	74	829
TAF11	19	89
NSE5	62	484
YML6	25	74
NDC1	47	588
RRN11	48	220
PRP39	13	31
RSE1	155	1882
TEM1	21	79
ORC1	70	620
ITT1	30	126
POB3	22	193
BET5	18	65
TUB1	34	282
RPM2	48	341
PRE8	3	2
UTP14	94	909
TAF13	0	0
SEC65	9	21
TAF8	43	304
PGA3	35	274
ERG13	61	483
RSC9	41	351
MSC1	50	180
ERO1	45	463
CDC5	27	205
TAF4	22	34
SEC59	24	100
TAP42	30	246
HOF1	57	839
ARP9	10	22
MCM1	9	32
NUP116	39	252
ERB1	41	243
SEN15	14	79
RNA14	33	141
MOT3	5	12
TVP18	5	15
PDS5	51	291
SEC14	17	80
UTP15	52	458
CTF13	25	202
MED11	16	79
FOL3	33	267
SPC24	9	36
ECM16	91	880
RRB1	34	157
ERG29	24	84
PSO2	67	251
TIF34	34	412
SWP1	26	210
MSS11	39	268
CEP3	39	604
SPT21	66	566
RTP1	56	448
VTI1	12	28
CIK1	45	281
ROT1	14	192
TOM40	10	60
ERG12	45	360
DML1	24	91
CEF1	59	768
TRS130	54	327
ERG8	33	256
TAF7	33	183
RRP5	99	697
RNA1	32	215
TAF9	8	11
RNT1	34	213
CUS1	69	473
TIF11	0	0
PRP24	8	11
RRN9	22	266
FCP1	44	231
GPI12	7	56
HSH155	63	593
HAS1	14	82
YMR290W-A	3	3
LCB1	47	666
LIP1	4	5
ATM1	44	355
PSE1	45	408
NIP1	41	305
PRE5	29	195
RLP7	7	6
LST8	10	49
SIS1	26	102
ARK1	113	883
KSH1	18	128
SAM50	25	81
GPI15	14	90
BDP1	26	158
NOP2	52	655
GCD10	27	330
IMP4	16	83
TOP2	42	304
POL1	172	2006
MET4	35	188
NOP15	11	15
DBP2	54	288
RPC19	6	7
YNL114C	3	2
DCP2	44	260
NAF1	25	229
SPC98	56	588
TOM22	0	0
KRE33	61	705
NAM9	59	660
YSF3	18	43
PGA2	4	4
YNL150W	3	2
RPC31	14	83
INN1	19	192
PGA1	4	6
CBK1	63	547
RPL42A	15	117
RIA1	67	845
APC1	170	1659
RPS3	0	0
YNL181W	26	134
IPI3	40	151
KAR1	10	57
SRP1	14	50
RIO2	23	56
RAP1	98	1102
POP1	103	1003
SSU72	11	51
CSL4	12	61
NAR1	46	350
SUI1	20	141
CWC25	6	30
YNL247W	94	896
NRD1	31	283
FOL1	56	716
DSL1	60	546
LTO1	7	12
ORC5	10	31
POL2	215	1785
YIF1	37	292
PIK1	59	441
SEC2	39	210
POP3	42	388
SEC21	64	411
RFC3	41	295
MRPS18	9	17
KRI1	12	29
ZIM17	16	268
RFA2	5	4
EMW1	56	533
PFS2	43	361
RPC34	38	225
PRP2	99	806
ACC1	188	1856
TIM23	29	217
