Gene name	Number of transposons per gene	Number of reads per gene
SEC53	3	2
NIC96	90	2158
YPI1	10	103
RPN11	5	86
SAD1	12	88
ECO1	4	51
CDC14	16	355
PTR3	21	282
SMC2	17	205
RSC8	15	214
KEG1	0	0
PRE4	17	256
RET2	65	1596
RPN12	8	48
ERG26	6	176
PMA1	6	73
SCL1	10	43
PUF4	78	1568
JAC1	5	92
STT3	46	1029
RPL30	1	0
HEM2	6	47
RNA15	11	178
ALG13	4	10
RPT6	6	55
OLE1	7	23
DUO1	22	318
ALG2	12	75
MNP1	14	151
YGL069C	11	137
HSF1	50	1120
YGL074C	6	39
MPS2	11	87
NBP35	10	186
NUP145	41	495
SPC105	36	618
SRM1	11	250
USE1	1	0
LSG1	9	70
YGL102C	7	139
RPL28	7	139
NSA1	9	74
TAF6	2	3
SLD3	19	447
CDC20	15	218
PRP43	18	206
NAB2	8	107
RPS2	1	0
CWC23	3	8
CEG1	1	0
SEC27	35	487
GPI10	7	113
TIP20	17	202
INO80	41	1304
CDC43	10	74
CUP2	18	466
SUA5	11	119
ROK1	13	94
NUP49	13	146
ATG1	12	135
MCM6	41	716
SPT16	23	226
VRG4	3	6
SEC15	4	10
CSE1	19	232
YGL239C	5	8
GUS1	18	476
BRR6	4	13
SWC4	155	4398
TFG2	24	141
SEC9	27	484
SNU71	76	1602
THG1	2	1
ERV1	6	37
POP6	1	0
TAM41	27	394
TFC4	19	125
UFD1	18	195
ERG25	8	86
VHT1	3	33
YGR073C	4	8
SMD1	0	0
PRP38	0	0
TOM20	8	66
GCD2	12	131
UTP22	17	354
PRP31	13	73
VAS1	23	456
RRP46	3	13
ESP1	5	92
TEL2	25	495
NOP7	8	32
DAM1	19	380
YGR114C	7	27
YGR115C	1	0
SPT6	48	786
NUP57	22	245
COG2	4	9
UTP8	4	22
CBF2	11	130
ENP2	11	345
NAT2	32	499
PTI1	10	122
MTR3	7	63
YIP1	2	5
ERG1	1	0
OKP1	14	318
TYS1	5	52
TFG1	10	139
YGR190C	10	207
HIP1	28	769
SKI6	9	77
YPP1	17	217
ZPR1	11	271
GPI1	11	147
CRM1	16	266
LSC2	83	2518
SDA1	15	162
BRF1	10	104
NOP19	13	207
PUP2	10	214
MES1	6	168
YGR265W	12	243
FOL2	1	0
TAF1	14	91
CAB4	1	0
CWC22	13	148
PXR1	8	69
PAU12	20	155
RPS20	2	1
ARN2	45	1101
TIM10	16	167
ERG11	17	272
SPO13	18	543
DED81	7	79
YHR020W	17	388
MYO1	142	2755
MAS2	8	117
BRL1	17	152
BCD1	32	789
NCP1	18	160
CPR2	36	1035
MED6	12	392
RPP1	2	2
RRP3	13	342
DYS1	27	581
RRP4	4	54
TRM5	18	193
ERG7	4	48
NOP10	0	0
QNS1	11	116
KSP1	44	637
SAM35	7	123
STE12	51	1087
IPI1	1	0
NAM8	30	675
RPF1	0	0
SFB3	45	722
BIG1	3	7
CDC12	1	0
ORC6	4	9
YHR122W	10	87
RPC10	0	0
IMP3	14	242
DNA2	18	294
CDC23	25	842
NMD3	5	71
SPC97	16	249
KOG1	37	576
GPI16	12	194
ERG9	14	109
UTP9	30	747
RIX1	8	126
CFD1	30	1739
BET1	1	0
FAF1	18	292
RPB3	23	461
TIM44	10	183
IRR1	36	990
ULP2	65	1196
MET30	21	391
NEO1	12	114
MMF1	13	62
SNP1	35	454
ARC15	8	178
YRB2	11	59
SEC6	26	386
RPN2	18	151
THS1	22	331
CAB2	6	28
UTP25	28	363
SHQ1	17	174
MOB1	11	66
SEC24	26	376
NUP159	56	1384
RHO3	11	151
STH1	36	372
TAO3	64	1649
CCT2	21	292
SSL2	25	420
NDC80	10	127
SLN1	19	152
MCM10	27	574
DJP1	92	3602
PAN1	316	10499
PRI1	7	98
DSN1	34	1047
STS1	4	3
SQT1	9	190
RPR2	18	237
SEC11	2	7
PRE3	19	606
OST1	9	204
CYR1	63	990
CCT8	10	121
YJL009W	13	235
NOP9	19	96
RPC17	3	13
CCT3	11	276
YJL015C	55	3558
MPS3	79	1971
RRN7	30	360
RNR2	13	193
BET4	3	2
YJL032W	0	0
HCA4	12	147
KAR2	5	44
TAD2	6	25
NUP192	29	379
NSP1	5	99
MTR4	15	230
TIM54	20	313
NUP82	7	62
UTP18	13	65
PSF2	5	23
SMC3	19	208
NET1	77	1789
ARP4	2	1
EXO70	11	90
YJL086C	30	315
TRL1	2	2
DPB11	20	221
GWT1	5	57
PHS1	9	84
PAM16	0	0
IME2	51	1251
UTP10	43	414
CCT7	10	306
ASF1	15	303
MTC1	32	905
GCD14	12	39
TIM17	5	61
SSY5	14	293
FAR1	58	830
TPK1	28	445
ERG20	0	0
RFA3	0	0
KRE9	1	0
CDC6	6	68
YJL195C	1	0
YJL202C	9	279
PRP21	11	118
MPP10	115	2850
MRX12	195	14734
POL31	3	40
SUI2	9	123
YJR012C	75	4032
GPI14	2	4
ILV3	5	53
ESS1	12	254
LSM8	0	0
YJR023C	2	2
URB2	5	41
NUP85	25	287
SSC1	3	28
TAH11	4	12
CDC8	2	1
CCT5	39	824
ARP3	15	222
YAE1	1	0
RFC2	7	31
NPA3	32	630
CDC11	29	325
FIP1	10	180
SFC1	32	866
NNF1	2	1
RPS5	1	0
YJR141W	0	0
AUR1	37	941
SFT1	27	782
PRP40	41	575
ARC19	0	0
URB1	27	445
SWD2	8	77
RAM2	9	152
MAK11	36	1160
CDC16	56	2069
URA6	12	113
TFA1	17	91
TTI1	20	273
UGP1	18	166
YKL036C	31	742
