Gene name	Number of transposons per gene	Number of reads per gene
GNA1	8	189
SMX2	1	0
FRS2	26	714
EPL1	59	2359
CAK1	11	611
MOB2	41	730
TUB2	31	796
YPT1	13	285
ACT1	28	625
SEC53	2	2
NIC96	83	4381
YPI1	9	132
RPN11	8	85
SAD1	17	620
ECO1	12	232
CDC14	30	984
PTR3	60	2071
SMC2	52	1554
RSC8	24	570
KEG1	6	127
PRE4	23	481
RET2	83	4745
RPN12	12	409
ERG26	12	297
PMA1	18	358
SCL1	13	228
PUF4	117	5955
JAC1	18	325
STT3	57	2469
RPL30	6	6
HEM2	15	263
RNA15	19	339
ALG13	2	2
RPT6	9	58
OLE1	23	494
DUO1	23	912
ALG2	24	568
MNP1	12	145
YGL069C	12	174
HSF1	61	3537
YGL074C	27	2645
MPS2	27	1052
NBP35	25	1324
NUP145	60	2809
SPC105	34	1577
SRM1	33	1223
USE1	3	5
LSG1	16	281
YGL102C	10	195
RPL28	15	340
NSA1	22	497
TAF6	2	1
SLD3	35	1284
CDC20	36	843
PRP43	46	1505
NAB2	21	547
RPS2	3	3
CWC23	11	61
CEG1	3	10
SEC27	46	810
GPI10	21	662
TIP20	39	1018
INO80	96	3516
CDC43	28	829
CUP2	32	2242
SUA5	20	441
ROK1	22	686
NUP49	32	1406
ATG1	71	3299
MCM6	75	1945
SPT16	31	1143
VRG4	12	218
SEC15	30	485
CSE1	44	974
YGL239C	12	562
GUS1	22	470
BRR6	8	159
SWC4	58	5460
TFG2	27	503
SEC9	20	725
SNU71	74	1869
THG1	7	180
ERV1	12	194
POP6	11	252
TAM41	34	833
TFC4	37	1443
UFD1	16	534
ERG25	20	588
VHT1	29	1052
YGR073C	4	23
SMD1	2	2
PRP38	1	0
TOM20	13	260
GCD2	22	913
UTP22	24	610
PRP31	38	1374
VAS1	69	2027
RRP46	8	53
ESP1	39	670
TEL2	21	805
NOP7	21	354
DAM1	22	593
YGR114C	11	389
YGR115C	4	79
SPT6	51	1932
NUP57	28	568
COG2	6	312
UTP8	14	134
CBF2	49	1946
ENP2	43	1613
NAT2	26	698
PTI1	9	172
MTR3	15	620
YIP1	11	140
ERG1	16	274
OKP1	31	1125
TYS1	14	444
TFG1	24	473
YGR190C	3	2
HIP1	30	831
SKI6	12	329
YPP1	22	1059
ZPR1	21	701
GPI1	19	803
CRM1	36	1270
LSC2	70	3280
SDA1	43	1067
BRF1	35	1195
NOP19	13	268
PUP2	15	425
MES1	31	1576
YGR265W	22	1439
FOL2	18	378
TAF1	41	1104
CAB4	7	31
CWC22	25	935
PXR1	15	572
PAU12	38	774
RPS20	1	0
ARN2	44	1552
TIM10	14	622
ERG11	20	183
SPO13	38	1355
DED81	23	835
YHR020W	29	756
MYO1	100	2931
MAS2	16	84
BRL1	26	1058
BCD1	53	1888
NCP1	49	694
CPR2	56	3577
MED6	29	2268
RPP1	8	230
RRP3	30	597
DYS1	39	1586
RRP4	14	124
TRM5	26	1028
ERG7	32	1014
NOP10	0	0
QNS1	32	1152
KSP1	81	3684
SAM35	13	505
STE12	67	3307
IPI1	6	102
NAM8	64	4377
RPF1	4	6
SFB3	91	4235
BIG1	9	183
CDC12	6	60
ORC6	22	319
YHR122W	25	1406
RPC10	0	0
IMP3	20	705
DNA2	56	1723
CDC23	50	2423
NMD3	20	568
SPC97	40	1489
KOG1	53	2454
GPI16	31	721
ERG9	27	1230
UTP9	47	1345
RIX1	23	530
CFD1	34	3489
BET1	6	70
FAF1	19	399
RPB3	23	821
TIM44	14	449
IRR1	72	2139
ULP2	80	4343
MET30	41	1020
NEO1	36	739
MMF1	34	2912
SNP1	26	446
ARC15	7	108
YRB2	18	199
SEC6	38	919
RPN2	53	2240
THS1	34	1288
CAB2	12	621
UTP25	54	1684
SHQ1	26	785
MOB1	17	249
SEC24	61	1879
NUP159	73	2691
RHO3	19	653
STH1	41	1679
TAO3	176	6473
CCT2	30	854
SSL2	61	1799
NDC80	37	1663
SLN1	45	1407
MCM10	43	3086
DJP1	70	4765
PAN1	226	13512
PRI1	7	122
DSN1	34	715
STS1	21	758
SQT1	32	1150
RPR2	12	201
SEC11	8	67
PRE3	12	325
OST1	19	420
CYR1	120	4480
CCT8	29	1517
YJL009W	18	1674
NOP9	49	1172
RPC17	6	130
CCT3	14	157
YJL015C	62	8195
MPS3	92	5606
RRN7	33	979
RNR2	35	1209
BET4	4	10
YJL032W	1	0
HCA4	28	656
KAR2	27	465
TAD2	16	411
NUP192	55	1063
NSP1	14	233
MTR4	62	1651
TIM54	25	1201
NUP82	27	648
UTP18	23	610
PSF2	15	680
SMC3	35	1523
NET1	93	3797
ARP4	6	120
EXO70	30	739
YJL086C	32	1567
TRL1	19	297
DPB11	30	661
GWT1	11	380
PHS1	17	504
PAM16	4	4
IME2	58	2542
UTP10	88	2105
CCT7	12	409
ASF1	23	456
MTC1	49	1822
GCD14	19	954
TIM17	12	482
SSY5	53	2056
FAR1	117	8146
TPK1	37	1764
ERG20	20	507
RFA3	0	0
KRE9	6	96
CDC6	5	119
YJL195C	2	2
YJL202C	11	459
PRP21	20	401
MPP10	55	2070
MRX12	167	12534
POL31	9	125
SUI2	24	1034
YJR012C	62	5850
GPI14	12	205
ILV3	38	641
ESS1	15	428
LSM8	3	12
YJR023C	7	40
URB2	29	1132
NUP85	32	835
SSC1	1	0
TAH11	10	386
CDC8	14	106
CCT5	49	1878
ARP3	39	775
YAE1	4	15
RFC2	17	376
NPA3	43	2032
CDC11	42	1586
FIP1	17	565
SFC1	47	1786
NNF1	12	238
RPS5	2	3
YJR141W	7	31
AUR1	33	1198
SFT1	26	2367
PRP40	54	2129
ARC19	0	0
URB1	95	3136
SWD2	17	349
RAM2	21	671
MAK11	44	3306
CDC16	86	5600
URA6	10	191
TFA1	34	1242
TTI1	52	1289
UGP1	27	696
YKL036C	68	3693
SPC42	18	293
PRI2	29	725
CSE4	8	133
ASK1	41	2005
TOA2	4	32
MPE1	51	1646
FBA1	10	47
DHR2	24	514
RRP14	14	488
YKL083W	3	4
CAB3	33	857
MIF2	6	14
YJU2	17	458
UTP11	17	632
HSL1	95	2428
GFA1	25	709
SLD2	32	1014
YKL111C	20	910
ABF1	40	1435
SRP21	9	255
RRN3	26	560
HSK3	5	166
SDH3	9	181
RPC25	7	38
RPT1	11	181
GPM1	6	112
YKL153W	4	22
SRP102	12	224
MCD4	53	1468
TPK3	36	1764
EBP2	10	283
SNU114	30	688
RPL17A	4	46
FAS1	70	2158
MTR2	16	281
HYM1	27	821
ACP1	7	70
SDS22	10	168
MIA40	9	197
YKT6	9	155
TOR2	122	4524
LOS1	93	5185
UBA1	23	532
PAP1	32	2478
ECM9	52	1152
RSC4	29	716
NTR2	24	485
RPC37	9	224
SPC34	15	313
KAE1	24	916
RPS21A	23	532
