Gene name	Number of transposons per gene	Number of reads per gene
TAT1	72	4148
ALG14	12	59
YBR071W	45	2922
HSP26	40	4751
YBR072C-A	23	360
RDH54	70	4640
PFF1	97	5544
ECM8	60	5388
YBR076C-A	25	2047
SLM4	21	195
ECM33	18	359
RPG1	67	2085
SEC18	24	607
SPT7	66	3161
UBC4	35	1631
TEC1	59	2403
MIS1	71	4339
RPL19A	37	961
AAC3	21	812
YBR085C-A	14	440
IST2	80	3774
RFC5	5	35
POL30	6	60
YBR089W	5	44
NHP6B	9	138
YBR090C	59	1783
TIM12	1	0
PHO3	44	2189
PHO5	45	2311
PBY1	78	3792
RXT2	19	307
YBR096W	18	911
VPS15	71	2441
MMS4	76	3302
YBR099C	22	787
FES1	11	207
EXO84	46	2338
SIF2	52	4361
YBR103C-A	23	1944
YMC2	32	1565
VID24	39	2506
PHO88	23	630
IML3	20	1325
AIM3	68	3335
CMD1	2	1
YBR109W-A	19	1159
ALG1	4	274
YSA1	20	660
SUS1	6	175
CYC8	34	1375
YBR113W	11	236
RAD16	93	6454
LYS2	132	6056
YBR116C	38	3632
TKL2	93	7336
TEF2	74	2110
MUD1	15	686
CBP6	2	1
GRS1	1	0
YBR121C-A	0	0
MRPL36	11	496
TFC1	15	246
YBR124W	23	823
PTC4	38	1984
TPS1	32	881
YBR126W-A	14	543
YBR126W-B	12	680
VMA2	29	1134
ATG14	55	3246
OPY1	18	747
SHE3	16	179
CCZ1	29	879
YBR131C-A	1	0
AGP2	46	2820
HSL7	51	2102
YBR134W	25	2289
CKS1	9	269
MEC1	135	6099
YBR137W	13	225
YBR138C	41	1145
YBR139W	57	1723
IRA1	101	2218
BMT2	47	3059
YBR141W-A	3	73
MAK5	58	2825
SUP45	19	372
YBR144C	49	4442
ADH5	43	2863
MRPS9	28	1011
RTC2	36	2235
YSW1	52	1677
ARA1	30	1296
TBS1	95	3860
APD1	34	1512
SPP381	20	789
RIB7	5	80
RPB5	3	5
CNS1	10	149
SLI15	23	876
ICS2	21	1464
AMN1	43	2285
IFA38	11	204
CDC28	9	94
CSH1	14	197
TOS1	34	1441
YSY6	4	94
EXO5	42	1119
ARL1	8	180
UBS1	15	412
TYR1	44	2553
POP7	6	83
PEX32	32	1224
SSE2	65	2458
NPL4	55	3068
SEC66	15	239
SMY2	41	1999
UMP1	2	4
YBR174C	17	505
SWD3	16	358
ECM31	12	446
EHT1	39	1667
YBR178W	37	2356
FZO1	52	2088
DTR1	47	2077
RPS6B	6	84
SMP1	24	463
YBR182C-A	13	404
YPC1	26	1162
YBR184W	33	1961
MBA1	16	474
PCH2	63	4239
GDT1	21	1327
NTC20	10	285
RPS9B	7	56
YBR190W	17	117
RPL21A	13	278
YBR191W-A	0	0
RIM2	9	33
MED8	4	100
AIM4	12	272
MSI1	47	3859
PGI1	11	285
YBR196C-A	17	531
YBR196C-B	11	1378
YBR197C	40	3974
TAF5	25	432
KTR4	31	1019
BEM1	18	499
YBR200W-A	4	4
DER1	11	527
YBR201C-A	4	281
MCM7	31	1544
COS111	72	3136
LDH1	39	1886
KTR3	39	1939
YBR206W	12	379
FTH1	55	3665
DUR1,2	165	8522
YBR209W	40	2497
ERV15	10	373
AME1	11	267
NGR1	62	4065
MET8	42	2813
SDS24	78	4537
HPC2	25	1406
YBP1	40	1491
ATG12	11	290
PYC2	115	6295
YBR219C	65	4796
YBR220C	75	5892
PDB1	31	1736
YBR221W-A	28	2421
PCS60	54	3070
TDP1	55	1753
YBR223W-A	10	489
YBR224W	35	1190
YBR225W	35	1464
YBR226C	3	124
MCX1	29	1014
SLX1	41	2189
ROT2	107	5849
OM14	22	133
YBR230W-A	28	1670
SWC5	41	3108
YBR232C	13	358
PBP2	37	2038
DAD3	3	3
ARC40	19	617
VHC1	110	5601
ABD1	18	1044
PRP5	39	1405
YBR238C	45	2535
ERT1	64	3521
THI2	62	5404
YBR241C	90	7219
YBR242W	27	785
ALG7	7	96
GPX2	16	376
ISW1	110	7111
RRT2	51	4770
ENP1	11	75
HIS7	43	1826
ARO4	40	2068
SPO23	39	1655
MRPS5	20	401
DUT1	7	61
SRB6	13	609
TRS20	9	31
MTC4	55	3069
YBR255C-A	10	678
RIB5	11	121
POP4	9	419
SHG1	12	189
YBR259W	51	2785
RGD1	68	2862
TAE1	15	944
MIC12	15	899
SHM1	27	738
YPT10	17	332
TSC10	17	1010
REI1	55	2046
SLM6	13	371
MRPL37	10	21
SDH8	8	434
BIT2	28	1383
EFM2	44	2928
HSM3	29	1395
UBX7	41	2180
CHK1	31	2066
RIF1	152	7878
PPS1	63	3293
YBR277C	31	1880
DPB3	31	1573
PAF1	25	1160
SAF1	72	4251
DUG2	57	2317
MRPL27	7	79
SSH1	26	664
YBR284W	74	3690
YBR285W	7	20
APE3	63	4500
YBR287W	35	1337
APM3	27	745
SNF5	59	1690
BSD2	17	791
CTP1	43	2636
YBR292C	24	1205
VBA2	45	1427
SUL1	75	3040
PCA1	110	6727
PHO89	76	3859
YBR296C-A	9	592
MAL33	28	981
MAL31	52	3147
YBR298C-A	16	375
MAL32	82	3848
YBR300C	24	230
PAU24	17	189
COS2	60	2081
YCL076W	8	199
GEX1	65	3096
VBA3	42	1185
YCL068C	25	1343
HMLALPHA2	10	23
HMLALPHA1	52	964
YCL065W	5	12
CHA1	35	1304
VAC17	41	2048
MRC1	58	1943
KRR1	14	381
FYV5	26	1535
ADF1	18	967
MIC10	32	2013
PRD1	83	4337
PEX34	14	168
KAR4	21	720
RDT1	1	0
SPB1	50	1778
PBN1	27	1233
